date             aa           sp
19980102       0.012433      0.004750
19980105       0.017544      0.002082
19980106      -0.022414     -0.010736
19980107       0.001764     -0.002669
19980108      -0.042254     -0.008257
19980109      -0.025735     -0.029654
19980112      -0.001887      0.012418
19980113      -0.001890      0.013746
19980114       0.002841      0.006113
19980115      -0.003777     -0.007527
19980116       0.008531      0.011339
19980120       0.027256      0.017774
19980121       0.004575     -0.007960
19980122      -0.014572     -0.008004
19980123       0.022181     -0.005670
19980126       0.005425     -0.000658
19980127       0.006295      0.012613
19980128       0.031278      0.008710
19980129       0.050260      0.008215
19980130       0.008251     -0.005287
19980202       0.022095      0.021412
19980203      -0.012810      0.004714
19980204      -0.008921      0.000905
19980205      -0.007389     -0.003337
19980206       0.004963      0.008889
19980209      -0.009053     -0.001699
19980210       0.009967      0.008182
19980211      -0.004112      0.000981
19980212       0.016515      0.004049
19980213      -0.000812     -0.003955
19980217      -0.012195      0.002617
19980218      -0.018930      0.009113
19980219      -0.013423     -0.003682
19980220      -0.017007      0.005767
19980223      -0.020761      0.003800
19980224       0.000883     -0.007302
19980225       0.014122      0.011974
19980226       0.006092      0.005533
19980227       0.015571      0.000639
19980302      -0.034072     -0.001563
19980303       0.020282      0.004123
19980304      -0.008643     -0.004458
19980305      -0.012206     -0.011735
19980306       0.011474      0.019951
19980309      -0.002618     -0.003202
19980310       0.025372      0.011346
19980311      -0.012799      0.003965
19980312      -0.012965      0.001357
19980313      -0.020140     -0.001224
19980316       0.030384      0.009976
19980317       0.010408      0.001093
19980318      -0.002575      0.004692
19980319       0.022375      0.003888
19980320      -0.014310      0.008644
19980323      -0.013664     -0.003284
19980324      -0.007792      0.009219
19980325       0.007853     -0.003374
19980326      -0.006061     -0.001016
19980327      -0.013937     -0.004869
19980330      -0.034452     -0.001725
19980331       0.007319      0.007499
19980401      -0.004541      0.005809
19980402       0.015511      0.010703
19980403      -0.008086      0.002402
19980406       0.008152     -0.001167
19980407      -0.026056     -0.010558
19980408       0.012915     -0.007120
19980409       0.020947      0.008188
19980413       0.017841     -0.000882
19980414       0.065732      0.005461
19980415       0.032895      0.003200
19980416      -0.019108     -0.009961
19980417      -0.004870      0.013130
19980420       0.008157      0.000828
19980421       0.014563      0.002688
19980422       0.003987      0.003435
19980423       0.003971     -0.009694
19980424      -0.011867     -0.010432
19980427      -0.012010     -0.019280
19980428      -0.011345     -0.001316
19980429       0.006557      0.008764
19980430       0.009772      0.015649
19980501       0.004032      0.008320
19980504       0.004819      0.000955
19980505      -0.011990     -0.005855
19980506      -0.012136     -0.009485
19980507      -0.014790     -0.008851
19980508       0.007506      0.011871
19980511       0.011589     -0.001354
19980512       0.006547      0.008268
19980513      -0.001626      0.002751
19980514      -0.008143     -0.001332
19980515      -0.027915     -0.007732
19980518      -0.010980     -0.002625
19980519      -0.023057      0.003346
19980520       0.000000      0.008598
