date              gm          sp
19990104      -0.009607     -0.000919
19990105       0.052910      0.013582
19990106       0.046064      0.022140
19990107      -0.006405     -0.002051
19990108       0.032232      0.004221
19990111       0.074941     -0.008792
19990112      -0.035585     -0.019282
19990113      -0.015813     -0.004123
19990114      -0.008416     -0.017993
19990115       0.028549      0.025631
19990119       0.056264      0.007030
19990120       0.010653      0.003690
19990121       0.011244     -0.017078
19990122       0.009034     -0.008072
19990125      -0.011019      0.007174
19990126       0.016713      0.014854
19990127       0.023288     -0.007299
19990128      -0.014056      0.017858
19990129      -0.025119      0.011277
19990201       0.040390     -0.005189
19990202      -0.036814     -0.008649
19990203       0.000000      0.007987
19990204      -0.026555     -0.018537
19990205      -0.012922     -0.007281
19990208       0.000000      0.003526
19990209      -0.014545     -0.022215
19990210       0.000738      0.006093
19990211       0.011799      0.024919
19990212      -0.022595     -0.019066
19990216      -0.008949      0.009544
19990217      -0.006020     -0.014365
19990218       0.036336      0.010825
19990219      -0.001461      0.001568
19990222       0.024140      0.026565
19990223      -0.022143     -0.000755
19990224      -0.006574     -0.013979
19990225      -0.016176     -0.006694
19990226      -0.012706     -0.005373
19990301       0.006813     -0.001752
19990302      -0.005263     -0.008623
19990303       0.002268      0.001795
19990304       0.034691      0.015427
19990305       0.033528      0.023126
19990308      -0.011283      0.005692
19990309       0.009272     -0.002253
19990310      -0.006360      0.005469
19990311       0.021195      0.008424
19990312      -0.007666     -0.002381
19990315       0.006320      0.009787
19990316      -0.004885     -0.000673
19990317      -0.002104     -0.006552
19990318       0.006325      0.014432
19990319       0.003492     -0.013110
19990322       0.004871     -0.001755
19990323      -0.051939     -0.026885
19990324       0.000730      0.005110
19990325       0.018248      0.016869
19990326       0.008602     -0.005574
19990329      -0.004975      0.021336
19990330      -0.001429     -0.007190
19990331      -0.004292     -0.011055
19990401      -0.017960      0.005714
19990405       0.024872      0.021179
19990406       0.039971     -0.002445
19990407      -0.048044      0.006829
19990408       0.013699      0.012880
19990409      -0.025605      0.003252
19990412       0.029197      0.007632
19990413       0.026241     -0.006492
19990414      -0.007602     -0.015839
19990415      -0.035515     -0.004200
19990416       0.015884     -0.002918
19990419       0.023454     -0.022381
19990420      -0.031250      0.012943
19990421       0.021505      0.022930
19990422      -0.004211      0.016989
19990423       0.004933     -0.001450
19990426      -0.002805      0.002351
19990427      -0.004219      0.002029
19990428      -0.002119     -0.008725
19990429       0.019108     -0.005981
19990430      -0.010417     -0.005697
19990503       0.052632      0.014567
19990504      -0.050667     -0.016706
19990505      -0.023174      0.011494
19990506      -0.017973     -0.011326
19990507       0.014641      0.009722
19990510      -0.012266     -0.003494
19990511       0.002191      0.011423
19990512       0.030612      0.006189
19990513      -0.026874      0.002610
19990514      -0.033430     -0.021761
19990517      -0.033835      0.001263
19990518       0.008560     -0.004606
19990519      -0.016204      0.008183
19990520       0.005490     -0.004017
19990521       0.039782     -0.006379
19990524      -0.002251     -0.017771
19990525       0.018045     -0.017028
19990526       0.002954      0.015852
19990527      -0.023564     -0.017896
19990528      -0.001912      0.015943
19990601       0.024457     -0.005823
19990602      -0.008842      0.000425
19990603      -0.008921      0.003653
19990604      -0.015302      0.021708
19990607       0.010969      0.005099
19990608      -0.019892     -0.012881
19990609      -0.047970      0.000994
19990610       0.002907     -0.011997
19990611      -0.014493     -0.007046
19990614      -0.008824      0.000278
19990615      -0.025717      0.005533
19990616       0.046701      0.022480
19990617      -0.004850      0.007133
19990618      -0.020468      0.002194
19990621       0.014925      0.004587
19990622      -0.001961     -0.009726
19990623      -0.027505     -0.002111
19990624       0.020202     -0.012963
19990625       0.005941     -0.000357
19990628      -0.000984      0.012195
19990629       0.010837      0.015097
19990630       0.029240      0.015731
19990701       0.024621      0.006010
19990702       0.014787      0.007430
19990706       0.044627     -0.002228
19990707      -0.023540      0.005576
19990708      -0.032143     -0.001032
19990709      -0.023985      0.006354
19990712       0.038752     -0.002979
19990713      -0.013649     -0.003960
19990714       0.000923      0.003308
19990715       0.003687      0.008189
19990716       0.014692      0.006498
19990719      -0.010860     -0.007845
19990720      -0.026532     -0.021703
19990721       0.000000      0.001590
