date            hpq           vw            eq            sp
19980102       0.035070      0.002498      0.010453      0.004750
19980105      -0.006776      0.002246      0.005575      0.002082
19980106       0.002924     -0.010237     -0.003519     -0.010736
19980107       0.008746     -0.003491     -0.003507     -0.002669
19980108       0.004817     -0.008315     -0.002990     -0.008257
19980109      -0.048897     -0.029345     -0.020594     -0.029654
19980112       0.003024      0.006977     -0.007685      0.012418
19980113       0.027136      0.015261      0.013825      0.013746
19980114      -0.013699      0.006385      0.006824      0.006113
19980115       0.015873     -0.005686     -0.000348     -0.007527
19980116      -0.003906      0.011203      0.010468      0.011339
19980120       0.004902      0.016317      0.009423      0.017774
19980121      -0.015610     -0.006188     -0.002208     -0.007960
19980122      -0.014866     -0.008378     -0.004163     -0.008004
19980123      -0.008048     -0.004940     -0.000209     -0.005670
19980126      -0.002028     -0.002087     -0.004518     -0.000658
19980127       0.030488      0.009826      0.002264      0.012613
19980128       0.000000      0.010073      0.007496      0.008710
19980129      -0.045365      0.007405      0.004728      0.008215
19980130      -0.006198     -0.003796      0.003733     -0.005287
19980202       0.027027      0.018904      0.007653      0.021412
19980203      -0.024291      0.005177      0.002493      0.004714
19980204       0.004149      0.002711      0.005778      0.000905
19980205       0.019628     -0.000821      0.004726     -0.003337
19980206       0.007092      0.007598      0.005648      0.008889
19980209      -0.013078     -0.000673      0.003229     -0.001699
19980210       0.033639      0.008043      0.006568      0.008182
19980211      -0.013807      0.001577      0.002117      0.000981
19980212      -0.002000      0.003461      0.001435      0.004049
19980213      -0.008016     -0.002211      0.003493     -0.003955
19980217      -0.004040      0.001676     -0.000141      0.002617
19980218       0.024341      0.007987      0.001904      0.009113
19980219       0.028713     -0.001946      0.001636     -0.003682
19980220       0.000000      0.003751      0.001723      0.005767
19980223      -0.008662      0.004369      0.003213      0.003800
19980224      -0.028155     -0.006726     -0.001822     -0.007302
19980225       0.032967      0.011503      0.006570      0.011974
19980226       0.005803      0.005981      0.006062      0.005533
19980227       0.030769      0.000788      0.004760      0.000639
19980302      -0.026119     -0.001222      0.001563     -0.001563
19980303      -0.011494      0.003609     -0.000182      0.004123
19980304      -0.031008     -0.003851      0.000958     -0.004458
19980305      -0.009000     -0.010037     -0.007676     -0.011735
19980306      -0.006054      0.018279      0.012261      0.019951
19980309      -0.021320     -0.002940     -0.002388     -0.003202
19980310       0.020747      0.010597      0.005567      0.011346
19980311      -0.014228      0.004910      0.004799      0.003965
19980312       0.020619      0.001627      0.003768      0.001357
19980313      -0.002020     -0.000494      0.003950     -0.001224
19980316       0.007085      0.008693      0.004431      0.009976
19980317      -0.012060      0.000980     -0.000486      0.001093
19980318       0.019329      0.004693      0.002996      0.004692
19980319       0.002994      0.004085      0.003967      0.003888
19980320       0.000000      0.005988      0.003344      0.008644
19980323       0.009194     -0.002699      0.000659     -0.003284
19980324       0.003953      0.008440      0.004875      0.009219
19980325       0.019685     -0.001835      0.000728     -0.003374
19980326      -0.013514     -0.000173      0.002983     -0.001016
19980327      -0.016634     -0.003702      0.002310     -0.004869
19980330       0.004975     -0.002173     -0.001021     -0.001725
19980331       0.003960      0.007678      0.006591      0.007499
19980401      -0.012821      0.006151      0.003882      0.005809
19980402       0.004995      0.008200      0.003227      0.010703
19980403      -0.004970      0.001932      0.002077      0.002402
19980406      -0.010989     -0.002479     -0.002702     -0.001167
19980407      -0.018182     -0.010451     -0.009936     -0.010558
19980408      -0.008230     -0.004350      0.003284     -0.007120
19980409       0.013485      0.007797      0.007493      0.008188
19980413      -0.001024     -0.000352      0.000003     -0.000882
19980414      -0.001025      0.007013      0.006369      0.005461
19980415       0.046154      0.004046      0.005110      0.003200
19980416      -0.024510     -0.008271     -0.001323     -0.009961
19980417       0.020101      0.010754      0.005852      0.013130
19980420       0.014778      0.001900      0.004309      0.000828
19980421       0.039806      0.002617      0.007288      0.002688
19980422      -0.001867      0.002808      0.002936      0.003435
19980423      -0.002806     -0.010752     -0.006290     -0.009694
19980424       0.120075     -0.009518     -0.003394     -0.010432
19980427      -0.018425     -0.021248     -0.019594     -0.019280
19980428      -0.012799      0.002029      0.007348     -0.001316
19980429       0.037165      0.009041      0.006774      0.008764
19980430       0.005000      0.014619      0.010241      0.015649
19980501      -0.018242      0.006420      0.002561      0.008320
19980504       0.015203      0.001766      0.003932      0.000955
19980505       0.002496     -0.005615     -0.003141     -0.005855
19980506      -0.012448     -0.007844     -0.002235     -0.009485
19980507       0.030252     -0.008112     -0.003145     -0.008851
19980508       0.004078      0.010656      0.005448      0.011871
19980511      -0.003249     -0.002013     -0.002935     -0.001354
19980512       0.041565      0.005206     -0.001466      0.008268
19980513       0.021909      0.002493      0.001163      0.002751
19980514      -0.138591     -0.001579     -0.001133     -0.001332
19980515      -0.012444     -0.007224     -0.003000     -0.007732
19980518      -0.047705     -0.004324     -0.008770     -0.002625
19980519       0.005671      0.004003      0.002222      0.003346
19980520      -0.009398      0.004911     -0.002398      0.008598
19980521      -0.015180     -0.003124     -0.001690     -0.003950
19980522       0.011561     -0.004927     -0.003641     -0.003741
19980526      -0.003810     -0.014841     -0.013605     -0.014814
19980527       0.000956     -0.003902     -0.013509     -0.001636
19980528      -0.023878      0.005951      0.007385      0.004907
19980529      -0.024462     -0.003699      0.002674     -0.006168
19980601      -0.015045     -0.003561     -0.011021      0.000147
19980602       0.006110      0.002235     -0.001984      0.002053
19980603      -0.017206     -0.007390     -0.002181     -0.009596
19980604       0.016478      0.009530      0.002480      0.011175
19980605       0.020263      0.013909      0.004866      0.017382
19980608       0.010924      0.002783      0.000505      0.001670
19980609      -0.001965      0.002443     -0.000348      0.002411
19980610      -0.016732     -0.007159     -0.008557     -0.005481
19980611      -0.029029     -0.014523     -0.012090     -0.015913
19980612       0.002062      0.000814     -0.006331      0.003892
19980615      -0.012346     -0.019638     -0.017514     -0.019866
19980616      -0.009375      0.010098      0.006332      0.009823
19980617      -0.015773      0.016313      0.010079      0.017939
19980618      -0.030983     -0.001680     -0.003546     -0.000659
19980619      -0.006615     -0.003946     -0.001100     -0.005170
19980622       0.019489      0.003490     -0.000295      0.002326
19980623       0.034934      0.013179      0.004856      0.014757
19980624       0.008439      0.011204      0.005245      0.011961
19980625       0.012552     -0.002676     -0.000174     -0.003178
19980626       0.002066      0.003008      0.001881      0.003471
19980629       0.018557      0.005623      0.003321      0.004668
19980630      -0.030364     -0.001363      0.005277     -0.004084
19980701      -0.028184      0.010831      0.004293      0.012982
19980702      -0.015038     -0.001674     -0.000597     -0.001863
19980706      -0.003272      0.008532      0.001749      0.009499
19980707       0.021882     -0.001407     -0.000681     -0.002290
19980708       0.043897      0.008761      0.002922      0.010142
19980709      -0.022564     -0.004980      0.000821     -0.006696
19980710      -0.016789      0.003040      0.000212      0.004980
19980713       0.026681      0.000950     -0.001357      0.000739
19980714      -0.014553      0.008410      0.002841      0.010633
19980715      -0.002110     -0.000677      0.002557     -0.002352
19980716       0.005285      0.006451      0.003699      0.007814
19980717       0.008412      0.001774      0.002313      0.002331
19980720       0.028154     -0.001092      0.000428     -0.002233
19980721      -0.060852     -0.015125     -0.008065     -0.016071
19980722      -0.043197     -0.003000     -0.005939     -0.000850
19980723       0.037246     -0.019983     -0.014034     -0.020901
19980724      -0.004353     -0.001729     -0.003114      0.000921
19980727       0.004372      0.001462     -0.009906      0.005671
19980728      -0.003264     -0.014400     -0.010263     -0.014844
19980729      -0.013100     -0.004698     -0.002701     -0.004450
19980730       0.013274      0.014292      0.005252      0.015766
19980731      -0.030568     -0.018193     -0.010296     -0.019493
19980803      -0.015766     -0.008577     -0.012928     -0.007344
19980804      -0.048055     -0.034747     -0.025919     -0.036245
19980805       0.015625      0.004444     -0.008199      0.008684
19980806      -0.005917      0.010241      0.009741      0.007583
19980807      -0.019048      0.004272      0.013576     -0.000165
19980810      -0.004854     -0.005836     -0.005382     -0.005792
19980811      -0.021951     -0.016902     -0.022921     -0.013073
19980812       0.037406      0.015615      0.012088      0.014257
19980813      -0.009615     -0.008843     -0.006856     -0.008587
19980814       0.024272     -0.009409     -0.002044     -0.011313
19980817       0.047393      0.014929     -0.002219      0.019685
19980818       0.031674      0.016335      0.007178      0.016177
19980819      -0.019737     -0.004241     -0.003874     -0.002851
19980820       0.002237     -0.006463     -0.006842     -0.005883
19980821      -0.020089     -0.011804     -0.014519     -0.009546
19980824      -0.013667      0.003409     -0.005474      0.006437
19980825       0.015012      0.002484     -0.005698      0.004338
19980826      -0.003413     -0.010895     -0.020449     -0.007933
19980827      -0.053653     -0.039402     -0.037440     -0.038370
19980828      -0.006031     -0.016009     -0.014324     -0.014819
19980831      -0.057039     -0.065946     -0.054321     -0.068014
19980901       0.032175      0.034998      0.017535      0.038609
19980902       0.000000      0.000739      0.012281     -0.003782
19980903      -0.002494     -0.010321     -0.011738     -0.008299
19980904       0.008750     -0.006711      0.002100     -0.008521
19980908       0.043371      0.048328      0.027976      0.050899
19980909       0.001188     -0.017528     -0.012019     -0.016864
19980910      -0.069988     -0.024621     -0.018786     -0.025850
19980911       0.020408      0.026057      0.015614      0.029453
19980914       0.016250      0.020008      0.011323      0.020475
19980915       0.018450      0.006948      0.002410      0.007730
19980916       0.000000      0.008547      0.008758      0.007517
19980917      -0.024155     -0.023527     -0.011875     -0.025452
19980918       0.011139      0.004218      0.009965      0.001197
19980921       0.019045      0.002055     -0.003714      0.003725
19980922      -0.022892      0.007645      0.009000      0.005606
19980923       0.059186      0.032425      0.019180      0.035411
19980924      -0.005821     -0.019813     -0.006513     -0.021921
19980925       0.015222      0.000757      0.000165      0.001947
19980928       0.013841      0.003586      0.001452      0.003771
19980929       0.007964     -0.001589     -0.003653      0.000315
19980930      -0.044018     -0.025478     -0.005818     -0.030514
19981001      -0.053129     -0.032740     -0.028105     -0.030108
19981002      -0.007481      0.013299      0.002235      0.016434
19981005      -0.011307     -0.019619     -0.028181     -0.014004
19981006       0.013977     -0.005038     -0.009736     -0.004016
19981007      -0.007519     -0.017027     -0.026526     -0.014128
19981008      -0.006313     -0.017340     -0.037639     -0.011580
19981009       0.007624      0.026226      0.023122      0.026005
19981012       0.046658      0.016783      0.019356      0.013531
