year mom day ibm vw ew sp M T W R F
1980 1 2 -0.029126 -0.020089 -0.011686 -0.020196 0 0 1 0 0
1980 1 3 0.016 -0.00651 -0.011628 -0.005106 0 0 0 1 0
1980 1 4 -0.001969 0.013735 0.015809 0.012355 0 0 0 0 1
1980 1 7 -0.003945 0.004368 0.007013 0.002722 1 0 0 0 0
1980 1 8 0.067327 0.01934 0.014152 0.020036 0 1 0 0 0
1980 1 9 -0.029685 0.001714 0.007452 0.000918 0 0 1 0 0
1980 1 10 0.032505 0.008958 0.011186 0.007703 0 0 0 1 0
1980 1 11 -0.007407 0.002361 0.007029 0.000273 0 0 0 0 1
1980 1 14 -0.001866 0.003998 0.008845 0.004185 1 0 0 0 0
1980 1 15 0.048598 0.005925 0.005315 0.006885 0 1 0 0 0
1980 1 16 -0.001783 0.000683 0.005915 -0.00081 0 0 1 0 0
1980 1 17 -0.010714 -0.001927 0.002391 -0.003152 0 0 0 1 0
1980 1 18 0.005415 0.0024 0.004391 0.003342 0 0 0 0 1
1980 1 21 -0.008977 0.008928 0.007791 0.009273 1 0 0 0 0
1980 1 22 0 -0.006371 -0.004607 -0.005263 0 1 0 0 0
1980 1 23 0.032609 0.015326 0.008602 0.017308 0 0 1 0 0
1980 1 24 -0.008772 0.003041 0.005671 0.002292 0 0 0 1 0
1980 1 25 -0.00708 -0.000166 0.003836 -0.000792 0 0 0 0 1
1980 1 28 0.012478 0.010314 0.007431 0.010915 1 0 0 0 0
1980 1 29 -0.008803 -0.005532 -0.001644 -0.006791 0 1 0 0 0
1980 1 30 0 0.010758 0.007295 0.009906 0 0 1 0 0
1980 1 31 -0.024867 -0.006642 0.000197 -0.009028 0 0 0 1 0
1980 2 1 0.010929 0.007284 0.003622 0.008409 0 0 0 0 1
1980 2 4 -0.003604 -0.004598 0.000659 -0.006515 1 0 0 0 0
1980 2 5 0.007233 0.002471 0.002422 0.002536 0 1 0 0 0
1980 2 6 -0.005601 0.009265 0.005566 0.009245 0 0 1 0 0
1980 2 7 -0.018282 0.005055 0.006159 0.004839 0 0 0 1 0
1980 2 8 0.001862 0.013678 0.00767 0.014362 0 0 0 0 1
1980 2 11 -0.007435 -0.006879 -0.003067 -0.007037 1 0 0 0 0
1980 2 12 0.031835 0.006227 0.001931 0.00666 0 1 0 0 0
1980 2 13 0.00726 0.002573 0.002123 0.00458 0 0 1 0 0
1980 2 14 -0.018018 -0.014435 -0.007307 -0.014522 0 0 0 1 0
1980 2 15 -0.007339 -0.008113 -0.004888 -0.011223 0 0 0 0 1
1980 2 19 -0.009242 -0.006289 -0.007505 -0.007018 0 1 0 0 0
1980 2 20 0.003731 0.015708 0.005391 0.016318 0 0 1 0 0
1980 2 21 -0.01487 -0.008052 -0.004629 -0.010217 0 0 0 1 0
1980 2 22 -0.003774 -0.003617 -0.005695 -0.002082 0 0 0 0 1
1980 2 25 -0.013258 -0.013514 -0.010144 -0.014864 1 0 0 0 0
1980 2 26 -0.001919 0.006311 0.000915 0.005735 0 1 0 0 0
1980 2 27 -0.046154 -0.011478 -0.002791 -0.014038 0 0 1 0 0
1980 2 28 0.022177 0.000233 -0.000515 -0.000267 0 0 0 1 0
1980 2 29 0.001972 0.00993 0.004665 0.01166 0 0 0 0 1
1980 3 3 -0.011811 -0.008626 -0.005045 -0.010206 1 0 0 0 0
1980 3 4 0.007968 -0.00018 -0.008229 0.002489 0 1 0 0 0
1980 3 5 -0.019763 -0.014992 -0.01341 -0.01463 0 0 1 0 0
1980 3 6 -0.014113 -0.023723 -0.023657 -0.022316 0 0 0 1 0
1980 3 7 -0.002045 -0.017405 -0.014573 -0.016107 0 0 0 0 1
1980 3 10 0.010246 -0.008084 -0.016555 -0.003648 1 0 0 0 0
1980 3 11 0.010142 0.012893 0.006334 0.011924 0 1 0 0 0
1980 3 12 -0.014056 -0.00655 -0.002243 -0.008443 0 0 1 0 0
1980 3 13 -0.020367 -0.010131 -0.003018 -0.011696 0 0 0 1 0
1980 3 14 -0.004158 -0.00334 -0.00339 -0.001799 0 0 0 0 1
1980 3 17 -0.012526 -0.031945 -0.02738 -0.030067 1 0 0 0 0
1980 3 18 0.008457 0.014168 -0.006568 0.017993 0 1 0 0 0
1980 3 19 -0.012579 0.004809 0.007255 0.002017 0 0 1 0 0
1980 3 20 -0.010616 -0.010289 -0.003589 -0.011408 0 0 0 1 0
1980 3 21 -0.025751 -0.007213 -0.00443 -0.007855 0 0 0 0 1
1980 3 24 -0.046256 -0.031108 -0.026955 -0.029616 1 0 0 0 0
1980 3 25 0.011547 -0.005046 -0.017138 -0.000907 0 1 0 0 0
1980 3 26 -0.031963 -0.005467 -0.003155 -0.005142 0 0 1 0 0
1980 3 27 0.084906 -0.018623 -0.05611 -0.004662 0 0 0 1 0
1980 3 28 -0.028261 0.030149 0.037494 0.025046 0 0 0 0 1
1980 3 31 -0.002237 0.015188 0.012424 0.014005 1 0 0 0 0
1980 4 1 -0.015695 0.003701 0.00885 0.000882 0 1 0 0 0
1980 4 2 0.01139 0.00857 0.011197 0.004893 0 0 1 0 0
1980 4 3 -0.011261 -0.003685 0.001023 -0.005162 0 0 0 1 0
1980 4 7 -0.027335 -0.019375 -0.01599 -0.019187 1 0 0 0 0
1980 4 8 0.002342 0.010763 0.003458 0.010081 0 1 0 0 0
