IBM  KMB PG CAT DE JNJ MMM AA F HPQ WFC AXP FDX SP5
4.144233 -11.01077 -8.892867 -4.437967 6.273933 -12.42617 -2.520467 -16.40337 -0.06356667 -6.192267 -7.503367 -15.33197 -2.275967 -7.518367
5.9051 -5.1991 -0.8403 8.8358 6.7694 2.2953 2.8494 4.0393 6.0217 -4.0063 -6.6691 -2.7458 10.4661 0.2089
1.507767 3.206467 5.408167 0.1663667 3.235467 4.003667 0.9017667 0.1198667 2.059067 5.672067 0.6237667 -12.24633 10.84167 1.767167
2.0616 -0.6475 4.2602 0.2523 2.2685 0.2434 -3.1053 -4.2768 -5.674 -5.2923 -8.4703 5.5855 -2.4412 -3.3362
10.5568 8.8328 16.3462 8.52 -1.9783 12.759 4.3692 5.8066 3.8876 8.8106 23.6606 7.1891 -16.1701 8.5539
-2.727467 1.553733 4.802133 -22.09937 -0.9819667 5.422333 4.196933 -4.053267 -5.793267 -1.471367 -3.437467 5.270333 -2.806367 -1.532767
-5.7414 6.6948 -0.5489 -7.1908 -1.3176 3.6085 3.694 9.0905 -4.0636 -9.3652 -9.2557 -5.9196 -8.646 -1.1573
-8.167933 -3.476133 -11.86003 -12.64133 -22.61393 -7.219033 -12.67613 -7.994933 -16.58473 -19.75123 -10.28123 -17.78823 -6.326533 -10.05223
3.803867 -8.383633 -5.970433 -2.357533 -16.47233 -4.232333 -2.676833 -3.331733 -12.08283 -4.254933 -16.81053 -13.04853 -8.256633 -5.731733
-1.5376 9.6589 7.9788 -3.4377 -15.9414 1.1812 1.8336 -15.1284 -8.2898 -22.9856 1.0832 -10.1596 -9.563 -1.2673
8.389167 4.727267 4.817067 0.3318667 11.28667 8.289367 3.183867 2.705767 -1.939733 14.79627 22.41997 8.020967 -10.05803 5.405067
-1.111767 6.290033 3.963233 13.72403 5.304233 2.305733 4.976833 4.449733 -3.301367 6.038333 12.36353 1.170033 12.82743 1.921133
11.64977 -0.3695333 -8.454833 5.971067 16.01497 6.101867 -1.538733 12.20187 7.462867 21.44247 7.818967 9.784667 25.68097 3.633467
2.0375 1.7338 2.0287 9.304 -5.987 7.3024 4.695 -0.8833 16.0229 19.4407 12.4263 4.9995 -4.0038 6.2331
-12.0459 2.4028 4.2767 -12.8495 -5.093 16.2503 -0.4925 1.6517 -1.2588 7.0142 1.9951 19.82 -12.6137 1.7278
-10.02073 3.232867 -1.351933 -0.3664333 0.5547667 -1.905033 0.2353667 3.193267 1.150767 1.779167 1.956367 -13.09423 -3.229433 -0.4362333
3.7537 6.001 1.0353 8.2064 12.9968 -4.1322 7.2925 4.9154 13.0065 5.6575 10.3696 2.045 13.3748 3.4027
-8.944767 -1.119667 -9.568467 -5.053567 -6.504467 -8.326267 -2.170167 -5.560867 -2.837067 -6.685367 -5.636567 -11.76177 -4.513967 -5.253467
3.7821 0.3203 4.5431 -0.3637 -1.1862 9.2655 -6.74 4.7572 -6.2983 5.4463 12.2623 12.3128 7.9766 4.0209
-3.570067 0.3246333 2.961433 -3.752067 0.04013333 1.356633 -0.5524667 -2.391067 -7.533767 -2.072067 3.120333 3.989333 -5.533967 1.520733
6.5327 -7.448 1.2117 -6.4876 3.4204 -5.2802 3.306 -8.1967 -4.0495 -6.5816 4.663 -2.7935 -12.1069 -2.3494
-5.602833 6.986367 -1.299533 7.819467 5.673167 7.222067 0.5550667 -0.5724333 -8.665833 1.351867 0.3304667 -26.26953 9.584167 0.7701667
-5.0009 -4.1511 -3.519 -14.4425 -14.9495 1.3546 -4.1932 -8.0723 -11.9007 -4.8465 -10.7504 -0.38 -9.7956 -4.7728
-4.122967 10.14193 15.55593 6.024433 -0.08076667 18.46753 9.459133 9.703533 16.84833 18.36213 21.32753 8.871333 10.77193 10.81963
0.8069333 -6.358567 10.73523 6.577933 4.110433 -6.430167 -4.778567 -0.1224667 9.550033 3.630733 -5.796167 0.2931333 12.58653 -2.306667
-2.4478 8.8664 -2.3682 4.2255 1.4256 -5.7619 0.5591 7.8583 20.1718 22.8868 9.4626 1.4982 16.8229 0.6365
-4.221567 2.615233 0.2783333 1.965133 0.8888333 -4.040367 -2.809167 1.284933 4.085133 10.21123 -3.658967 9.782333 -8.873267 -2.519867
8.3701 4.1581 1.2034 12.2375 -3.2465 -3.0048 5.3213 10.0066 18.9709 -0.9336 6.2167 -1.9518 -7.5125 2.4768
1.0308 3.3011 -0.7868 7.2699 -7.8592 2.2904 2.5508 0.0206 -2.5064 -5.3025 -3.2057 0.8086 -6.6243 -0.2061
7.5462 2.1472 -10.7673 -11.2781 -6.2996 -7.9179 1.1329 -2.5594 3.0753 -9.4168 1.3672 2.9917 10.4312 -2.0409
-3.4603 -3.0453 10.3847 2.8023 -1.7338 9.7884 2.8253 -3.0682 0.332 6.4476 3.022 -1.3428 -5.5307 3.6699
-7.559033 -3.496033 -7.668233 -12.93053 -7.701333 0.4599667 -0.9608333 -12.09133 -11.18983 -22.36963 -6.209833 -9.499933 -10.49473 -2.660633
-7.0246 -1.6155 5.0908 7.7886 13.2623 -4.7995 3.8184 2.272 -3.31 -2.5132 6.2421 5.7455 -6.1057 0.6681
-17.42103 5.562167 7.407267 0.2892667 -9.693933 5.862467 0.1275667 5.044667 -6.820633 1.779567 7.453967 -2.524033 24.67517 -0.02773333
3.604567 6.598767 2.339667 8.351567 -1.210233 0.9491667 -0.3337333 0.8502667 14.80767 16.66227 1.322467 6.756667 8.049367 2.765367
-26.45883 -2.747633 -1.420433 -5.774933 12.83067 -0.02023333 -1.616333 1.870667 1.814967 5.107567 1.501567 8.474867 11.24067 0.7424667
1.9833 -2.5805 -6.9633 4.6917 5.75 -13.1213 -2.8587 3.5894 8.2631 2.7911 4.0978 -5.7776 3.6491 0.4546
6.386933 -3.064167 4.278433 3.096633 11.88523 -3.130567 8.255833 -5.420667 -0.7861667 2.186433 3.733633 5.132133 -0.6856667 0.8042333
-6.682633 -1.710133 -4.332333 1.693867 2.879167 0.04826667 3.545667 -8.267233 13.10567 3.245667 7.012267 11.48887 -0.2458333 1.623867
-4.661767 -12.79627 -1.191567 17.13923 13.17263 2.106833 1.359033 2.280233 5.818533 -1.881167 2.768333 2.986633 -14.42987 -2.780867
9.347133 -1.698367 -0.2466667 3.182933 4.525133 2.641633 1.960033 2.437633 -5.269467 11.10563 -3.010667 2.431933 1.045333 2.025033
-6.653933 5.626567 5.596567 4.281667 5.684767 -7.258633 -4.574733 3.447867 0.2249667 -2.804533 10.07167 11.91807 -5.102733 -0.1803333
-10.12673 -5.556333 -5.907133 2.618167 -4.396433 -12.30153 -3.031133 1.532367 1.469167 -11.36443 -4.362933 1.684667 12.88337 -0.7860333
3.119133 4.281633 -1.020867 6.740233 14.28663 12.10453 4.943533 5.748333 -3.569167 2.699733 1.329333 -0.6347667 13.01843 3.191533
-8.442533 0.6317667 -2.054633 -4.197233 -0.2458333 -3.620033 -6.403233 -10.89473 8.087467 -7.665733 3.999467 10.13877 3.310667 -1.244633
9.272133 5.105433 14.61153 15.76103 6.484133 6.732433 0.5988333 1.051833 12.46323 7.426533 -7.038967 -9.659367 8.839233 1.687633
17.40467 2.162967 4.349967 -7.088933 -8.510733 3.919667 5.601867 2.168167 -2.076533 -0.08853333 -10.78263 -2.971533 5.667567 -1.549433
4.6174 -1.333 0.1855 4.1438 4.8596 2.6103 -0.4844 -0.0745 5.9178 7.2026 6.3024 -1.8486 -1.1291 0.7541
-0.2483333 9.390267 4.681467 16.91457 8.535467 -5.819333 -1.627633 14.38227 4.247767 7.663067 8.715767 6.229367 6.982667 3.001767
-6.244333 -2.354333 -3.632133 3.810767 4.542867 -4.967033 -1.198533 -5.168133 -7.546933 6.034167 -11.17133 -10.61563 -1.751133 -3.275333
3.018033 -4.590267 -7.248167 3.399233 0.3009333 -6.210667 -6.341467 -5.108967 -5.724267 -9.395067 1.304033 -5.419867 -10.97617 -4.866267
4.956533 3.475833 6.581233 -2.397867 -9.491867 9.295933 -1.316767 -5.367767 -0.1789667 -2.589767 7.546733 7.351033 13.71203 0.8464333
9.655 2.6163 -1.2241 -3.0754 -9.3173 7.3045 4.6346 4.1035 -1.4157 -2.5257 4.2569 5.0558 -0.0171 0.8969
-7.091 -5.9822 -5.6665 -6.7777 -2.6747 -3.4523 -3.0411 3.1948 1.8195 -4.103 -2.6814 -7.1323 -2.6326 -3.0262
4.958267 6.967767 4.744567 8.314167 3.336067 9.260167 6.692067 6.647667 8.452767 2.795267 -0.3608333 3.425567 -11.39763 2.785867
10.73777 4.252267 8.819467 6.085767 5.509067 6.892667 4.219567 7.486067 -8.608633 15.40767 2.248667 5.758767 6.205567 3.390967
1.2573 -0.6966 -2.4384 -6.5605 -7.22 2.8569 -0.1582 0.5079 -5.5132 -2.8328 -7.4273 7.615 -13.0834 -3.0748
6.5893 -12.7529 5.6252 10.2572 3.9591 5.1431 -0.1863 0.6494 6.8307 11.6047 -0.5741 1.9743 -2.2307 1.6709
-5.138833 -3.110733 -1.037233 -9.855033 -10.73753 -2.198233 -7.095433 -4.693033 -8.491633 -0.5685333 -11.66533 -4.489433 -6.819433 -4.391333
3.420233 0.9099333 -1.266667 1.380933 3.502233 2.109433 3.679633 5.658933 2.298333 2.014133 7.004633 -0.1290667 5.467433 0.7632333
-2.346533 -4.942333 5.128967 -6.825033 7.071367 5.688567 -2.349333 -9.191533 -8.960133 0.1499667 3.096367 6.303867 0.3540667 1.951967
4.198567 7.571067 1.630467 0.005766667 6.887567 -2.347533 4.951167 -1.275733 2.984467 13.94707 6.810867 6.265167 6.720767 3.126567
8.6587 0.3879 -0.8534 7.0286 6.4506 4.3683 5.6869 5.9328 2.3933 4.4573 -1.9338 3.24 3.3613 2.2554
14.74987 8.423367 5.529167 5.385067 0.4522667 8.772867 2.109767 7.661667 1.612867 9.394167 3.962667 -0.1841333 0.08366667 2.325167
-1.9256 5.4878 2.3898 2.519 5.0153 1.766 0.9447 3.6501 7.3616 -0.6615 7.3954 1.6858 -12.421 3.1587
2.769967 0.08586667 -0.4558333 6.183167 -0.8315333 1.623567 -4.830833 7.339867 1.253567 12.72597 0.8657667 -1.160033 1.005567 1.672067
12.95983 5.393833 -4.069067 9.626133 4.511833 5.844633 -1.758867 13.26403 -1.930667 4.078533 -2.190767 9.406533 10.65943 2.725933
-5.272 0.339 0.276 -5.0681 -5.1788 -3.8228 -3.152 0.164 5.5845 2.2787 7.0367 4.4201 5.8463 -0.482
-9.0252 5.3526 10.551 -15.71 -4.7028 6.9875 2.7637 -7.8798 0.7795 4.0287 7.4438 9.4671 15.2394 3.5698
2.4701 7.7537 5.2743 -0.0444 9.391 9.5094 0.4469 -3.9861 -6.946 10.6545 -9.6708 -8.3837 -1.4942 -0.9379
-0.8322667 5.233233 6.343433 7.703133 10.32253 6.246633 15.32473 14.70043 -2.185767 -10.83807 12.23133 4.168733 -9.731267 3.658233
-5.861733 11.12457 -4.474533 -4.705333 6.995867 -1.727033 1.101267 -10.04373 1.784067 0.7162667 -0.4283333 -3.075433 -1.267233 1.316067
18.32473 -2.984667 1.270033 9.753533 5.966333 11.86403 -3.241567 5.176733 2.959933 0.7773333 4.477233 11.30543 2.629033 2.845033
12.8463 -5.6738 -2.7835 3.2868 3.9308 -2.6629 1.2952 2.075 5.5297 18.4766 5.7793 -0.6742 -3.194 0.2909
-9.689533 -2.429733 2.940367 1.459367 6.487667 -1.750233 -1.181133 9.696567 9.586667 -6.790533 0.2715667 7.216067 -5.987633 0.3783667
-3.5586 -2.7654 -0.2355 -5.5963 -7.0191 -0.1415 1.3283 -0.8117 4.9693 12.0709 -2.1132 -1.729 15.151 0.9306
-1.021533 -0.07413333 3.575767 1.920867 6.655667 5.262767 4.098767 -1.087633 1.323867 0.1719667 -3.131133 -6.088433 -5.526733 1.866967
-7.684167 6.210433 2.705233 2.813933 -3.847567 1.244633 0.6747333 -7.320767 -11.72557 -6.654167 -0.4241667 -2.883167 6.590533 -0.1984667
8.156733 -2.047267 -1.449867 -2.606267 -11.05417 -3.964567 -2.698267 1.239633 0.7600333 -12.09797 1.362933 -1.885767 -5.612067 -5.003967
6.300067 2.539667 -0.8410333 4.133267 10.76797 3.118467 6.102267 6.691267 3.054067 -0.9890333 6.325667 -0.4208333 -4.118533 1.460567
8.428333 12.78353 9.280433 9.013233 5.739333 3.636733 1.030333 -5.454367 -7.140567 11.27873 7.881433 5.290133 5.418933 4.993133
3.198667 5.399767 1.584167 -8.840333 -0.7134333 -4.318233 9.082367 -0.4878333 0.8161667 -9.903033 7.252867 1.692267 1.161467 2.197267
23.39863 4.540633 9.429333 14.88133 6.148033 8.088433 9.878733 8.109633 4.380833 21.67713 6.748933 10.75103 9.518733 6.918433
-5.350367 -2.621167 -1.443667 -5.306467 -9.204667 -6.981967 -1.304667 -0.2126667 -1.935867 -6.914967 -7.361067 8.155433 0.1558333 -2.559667
3.128733 1.943033 7.079133 3.268533 5.136433 15.66123 2.291633 7.816133 0.3870333 4.307233 9.063633 9.536633 14.74933 5.712533
-8.5609 8.3004 3.4744 0.3877 -0.7099 -0.5214 8.1221 3.1695 1.9171 6.2333 4.6744 5.2163 0.0703 0.1753
-4.950033 -6.107533 -4.902833 2.127567 2.093667 -8.471833 -8.444633 -4.989733 -4.991033 -5.114333 -7.463533 -9.190233 0.7852667 -4.689733
16.5099 2.5851 9.5482 10.9719 5.3171 15.1728 2.3765 2.695 11.6656 -2.0693 7.4078 9.7579 3.1671 5.4106
