Year Mon FF IP 
1954 7 0.8 22.552
1954 8 1.22 22.519
1954 9 1.06 22.552
1954 10 0.85 22.821
1954 11 0.83 23.189
1954 12 1.28 23.491
1955 1 1.39 24.027
1955 2 1.29 24.329
1955 3 1.35 24.898
1955 4 1.43 25.2
1955 5 1.43 25.602
1955 6 1.64 25.635
1955 7 1.68 25.836
1955 8 1.96 25.803
1955 9 2.18 25.971
1955 10 2.24 26.406
1955 11 2.35 26.473
1955 12 2.48 26.574
1956 1 2.45 26.741
1956 2 2.5 26.507
1956 3 2.5 26.507
1956 4 2.62 26.708
1956 5 2.75 26.473
1956 6 2.71 26.239
1956 7 2.75 25.434
1956 8 2.73 26.473
1956 9 2.95 27.076
1956 10 2.96 27.311
1956 11 2.88 27.076
1956 12 2.94 27.479
1957 1 2.84 27.378
1957 2 3 27.646
1957 3 2.96 27.613
1957 4 3 27.244
1957 5 3 27.143
1957 6 3 27.21
1957 7 2.99 27.378
1957 8 3.24 27.378
1957 9 3.47 27.143
1957 10 3.5 26.741
1957 11 3.28 26.105
1957 12 2.98 25.602
1958 1 2.72 25.133
1958 2 1.67 24.597
1958 3 1.2 24.295
1958 4 1.26 23.893
1958 5 0.63 24.127
1958 6 0.93 24.764
1958 7 0.68 25.133
1958 8 1.53 25.635
1958 9 1.76 25.87
1958 10 1.8 26.172
1958 11 2.27 26.942
1958 12 2.42 26.976
1959 1 2.48 27.378
1959 2 2.43 27.914
1959 3 2.8 28.316
1959 4 2.96 28.919
1959 5 2.9 29.355
1959 6 3.39 29.389
1959 7 3.47 28.685
1959 8 3.5 27.713
1959 9 3.76 27.68
1959 10 3.98 27.479
1959 11 4 27.646
1959 12 3.99 29.355
1960 1 3.99 30.126
1960 2 3.97 29.858
1960 3 3.84 29.59
1960 4 3.92 29.355
1960 5 3.85 29.322
1960 6 3.32 28.953
1960 7 3.23 28.852
1960 8 2.98 28.819
1960 9 2.6 28.517
1960 10 2.47 28.484
1960 11 2.44 28.082
1960 12 1.98 27.546
1961 1 1.45 27.579
1961 2 2.54 27.546
1961 3 2.02 27.713
1961 4 1.49 28.283
1961 5 1.98 28.718
1961 6 1.73 29.121
1961 7 1.17 29.456
1961 8 2 29.724
1961 9 1.88 29.69
1961 10 2.26 30.26
1961 11 2.61 30.729
1961 12 2.33 30.997
1962 1 2.15 30.729
1962 2 2.37 31.232
1962 3 2.85 31.399
1962 4 2.78 31.466
1962 5 2.36 31.433
1962 6 2.68 31.366
1962 7 2.71 31.667
1962 8 2.93 31.701
1962 9 2.9 31.902
1962 10 2.9 31.935
1962 11 2.94 32.069
1962 12 2.93 32.069
1963 1 2.92 32.304
1963 2 3 32.673
1963 3 2.98 32.874
1963 4 2.9 33.175
1963 5 3 33.577
1963 6 2.99 33.678
1963 7 3.02 33.544
1963 8 3.49 33.611
1963 9 3.48 33.946
1963 10 3.5 34.181
1963 11 3.48 34.348
1963 12 3.38 34.281
1964 1 3.48 34.583
1964 2 3.48 34.817
1964 3 3.43 34.817
1964 4 3.47 35.387
1964 5 3.5 35.588
1964 6 3.5 35.689
1964 7 3.42 35.923
1964 8 3.5 36.158
1964 9 3.45 36.292
1964 10 3.36 35.789
1964 11 3.52 36.895
1964 12 3.85 37.331
1965 1 3.9 37.733
1965 2 3.98 37.967
1965 3 4.04 38.47
1965 4 4.09 38.637
