date            rtn
19260130       0.042945
19260227      -0.005882
19260331      -0.089497
19260430       0.056010
19260528      -0.008904
19260630       0.091698
19260731       0.048246
19260831       0.009763
19260930      -0.019337
19261030      -0.068182
19261130       0.071646
19261231      -0.036984
19270131      -0.010432
19270228       0.031627
19270331       0.017518
19270430       0.109986
19270531       0.087353
19270630       0.050360
19270730       0.179724
19270831       0.099609
19270930      -0.023091
19271031      -0.105311
19271130       0.089048
19271231       0.028195
19280131      -0.038674
19280229      -0.013410
19280331       0.242718
19280430       0.028302
19280531      -0.022936
19280630      -0.032864
19280731      -0.013115
19280831       0.109635
19280929      -0.007485
19281031       0.001517
19281130       0.213636
19281231       0.116105
19290131       0.160271
19290228      -0.044747
19290328      -0.026477
19290430       0.025210
19290531       0.095287
19290629       0.222638
19290731       0.162433
19290830       0.047682
19290930      -0.091656
19291031      -0.296581
19291127      -0.144841
19291231       0.136891
19300131       0.190965
19300228       0.050000
19300331       0.115271
19300430       0.025148
19300529      -0.028860
19300630      -0.160178
19300731       0.005338
19300829       0.044248
19300930      -0.167458
19301031      -0.174180
19301129      -0.037221
19301231      -0.092268
19310131       0.008596
19310228       0.193182
19310331      -0.075714
19310430      -0.088312
19310529      -0.119658
19310630       0.136570
19310731      -0.080460
19310831       0.015625
19310930      -0.326154
19311031       0.133333
19311130      -0.089796
19311231      -0.088789
19320130      -0.230000
19320229       0.025974
19320331      -0.101266
19320430      -0.235714
19320531      -0.355140
19320630       0.113043
19320730       0.526316
19320831       0.431034
19320930      -0.097590
19321031      -0.174497
19321130      -0.081301
19321231       0.133184
19330131      -0.008197
19330228      -0.206612
19330331       0.050000
19330429       0.560000
19330531       0.141026
19330630       0.083146
19330731      -0.078125
19330831       0.112994
19330930      -0.193909
19331031      -0.101266
19331129       0.126761
19331230      -0.020000
19340131       0.160256
19340228      -0.082873
19340331       0.085542
19340430      -0.039106
19340531      -0.075581
19340630       0.007547
19340731      -0.088050
19340831       0.048276
19340929      -0.011842
19341031      -0.046980
19341130       0.169014
19341231       0.079518
19350131       0.056180
19350228      -0.015957
19350330      -0.042162
19350430       0.085227
19350531       0.026178
19350629       0.052041
19350731       0.141463
19350831       0.064103
19350930       0.082731
19351031       0.063433
19351130       0.063158
19351231       0.015182
19360131       0.029412
19360229      -0.015873
19360331      -0.003226
19360430      -0.068404
19360529       0.048951
19360630       0.006667
19360731       0.166667
19360831       0.080000
19360930      -0.042328
19361031       0.088889
19361130       0.068878
19361231       0.060533
19370130       0.159817
19370227      -0.035433
19370331      -0.042449
19370430      -0.077253
19370528      -0.011628
19370630       0.002824
19370731       0.104019
19370831      -0.098501
19370930      -0.144418
19371030      -0.030812
19371130       0.000000
19371231      -0.026627
19380131      -0.042553
19380228       0.019048
19380331      -0.304050
19380430       0.162896
19380531      -0.035019
19380630       0.300806
19380730       0.040498
19380831      -0.002994
19380930       0.022823
19381031       0.100295
19381130      -0.075067
19381231       0.013333
19390131      -0.074713
19390228       0.034161
19390331      -0.171171
19390429      -0.007299
19390531       0.062500
19390630      -0.093426
19390731       0.169231
19390831      -0.078947
19390930       0.182143
19391031      -0.027356
19391130      -0.024375
19391230       0.052117
19400131      -0.061920
19400229      -0.009901
19400330       0.049333
19400430      -0.041667
19400531      -0.197324
19400629       0.061667
19400731       0.067460
19400831       0.011152
19400930       0.043382
19401031       0.007117
19401130      -0.048057
19401231       0.007605
19410131      -0.003774
19410228      -0.003788
19410331      -0.008365
19410430      -0.104651
19410531      -0.012987
19410630       0.143860
19410731      -0.015504
19410830       0.031496
19410930      -0.016031
19411031      -0.133333
19411129      -0.032579
19411231       0.022749
19420131       0.018779
19420228      -0.041475
19420331      -0.077885
19420430      -0.026455
19420529       0.086957
19420630       0.049000
19420731       0.014493
19420831       0.009524
19420930       0.050943
19421031       0.068182
19421130      -0.004255
19421231       0.054701
19430130       0.114754
19430227       0.047794
19430331       0.055439
19430430      -0.023490
19430529       0.044674
19430630       0.055263
19430731      -0.081761
19430831       0.013699
19430930       0.056757
19431030      -0.058065
19431130      -0.047945
19431231       0.071223
19440131      -0.010169
19440229      -0.041096
19440331       0.035000
19440429      -0.003484
19440531       0.010490
19440630       0.061592
19440731      -0.016447
19440831       0.016722
19440930      -0.010526
19441031       0.036913
19441130       0.016181
19441230       0.015287
19450131      -0.018987
19450228       0.096774
19450331      -0.043529
19450430       0.086957
19450531       0.011429
19450630      -0.027684
19450731       0.020528
19450831       0.086207
19450929       0.032275
19451031      -0.023256
19451130      -0.018519
19451231       0.038275
19460131       0.057592
19460228      -0.051980
19460330      -0.009922
19460430      -0.023936
19460531       0.087193
19460628      -0.039599
19460731      -0.015789
19460830      -0.080214
19460930      -0.077907
19461031      -0.057325
19461130      -0.054054
19461231       0.036429
19470131       0.090592
19470228      -0.038339
19470331      -0.045847
19470430      -0.021127
19470529      -0.010791
19470630       0.044364
19470731       0.073944
19470829      -0.036066
19470930       0.004082
19471031       0.000000
19471129      -0.041096
19471231       0.032857
19480131      -0.038462
19480228      -0.050909
19480331       0.115709
19480430      -0.031250
19480528       0.204301
19480630      -0.011310
19480730      -0.069909
19480831       0.032680
19480930       0.000000
19481030       0.083333
19481130      -0.118343
19481231       0.057047
19490131      -0.016077
19490228      -0.058824
19490331       0.065972
19490430      -0.023102
19490531      -0.050676
19490630       0.003559
19490729       0.068345
19490831       0.003367
19490930       0.010067
19491031       0.006734
19491130       0.070234
19491231       0.078125
19500131       0.047478
19500228       0.048159
19500331       0.012973
19500429       0.045946
19500531       0.018088
19500630      -0.066497
19500731       0.013774
19500831       0.038043
19500929       0.007330
19501031       0.023684
19501130       0.000000
19501230       0.057218
19510131       0.095477
19510228       0.025229
19510331      -0.008949
19510430       0.016018
19510531      -0.033784
19510629      -0.002331
19510731       0.059242
19510831       0.067114
19510928       0.041929
19511031      -0.083503
19511130      -0.004444
19511231       0.075893
19520131      -0.021008
19520229      -0.053648
19520331       0.088435
19520430      -0.037975
19520529       0.046053
19520630       0.067086
19520731       0.001988
19520829       0.001984
19520930       0.013861
19521031      -0.015810
19521128       0.128514
19521231       0.046263
19530130      -0.051546
19530227       0.000000
19530331       0.003623
19530430       0.027372
19530529       0.024867
19530630      -0.005199
19530731       0.031690
19530831      -0.034130
19530930       0.045936
19531030       0.114334
19531130       0.108729
19531231      -0.011173
19540129       0.062857
19540226       0.079301
19540331       0.074720
19540430       0.153216
19540528      -0.047667
19540630       0.185942
19540730      -0.043478
19540831      -0.056818
19540930       0.063855
19541029      -0.037143
19541130       0.086053
19541231       0.030601
19550131       0.064171
19550228       0.047739
19550331      -0.042686
19550429       0.065657
19550531      -0.018957
19550630       0.034300
19550729      -0.035294
19550831       0.034146
19550930      -0.049057
19551031      -0.065000
19551130       0.149733
19551230       0.083721
19560131      -0.060606
19560229       0.073733
19560329       0.100858
19560430      -0.031434
19560531      -0.070994
19560629       0.074236
19560731       0.047131
19560831      -0.039139
19560928      -0.079430
19561031       0.066964
19561130      -0.008368
19561231       0.025316
19570131      -0.107884
19570228       0.030233
19570329       0.060948
19570430       0.087983
19570531       0.053254
19570628       0.033708
19570731       0.018248
19570830      -0.064516
19570930      -0.070881
19571031       0.004158
19571129       0.078675
19571231      -0.047985
19580131       0.022358
19580228      -0.041750
19580331       0.002075
19580430      -0.010438
19580529       0.008439
19580630       0.012552
19580731       0.047917
19580829       0.011928
19580930       0.045187
19581031       0.032197
19581128       0.023853
19581231       0.130824
19590130      -0.009569
19590227       0.027375
19590331       0.026646
19590430       0.027650
19590529      -0.025411
19590630      -0.009202
19590731       0.012461
19590831       0.007692
19590930      -0.030534
19591030       0.023772
19591130       0.134675
19591231       0.087312
19600129      -0.137453
19600229       0.046784
19600331       0.009777
19600429      -0.013908
19600531       0.008463
19600630       0.037762
19600729      -0.082656
19600831      -0.028065
19600930      -0.101824
19601031      -0.005111
19601130       0.027397
19601230       0.000000
19610131      -0.048658
19610228      -0.074074
19610330      -0.001905
19610428      -0.057692
19610531       0.057143
19610630      -0.011583
19610731       0.045276
19610831       0.067797
19610929       0.065256
19611031      -0.013333
19611130       0.064189
19611229      -0.038095
19620131      -0.003322
19620228      -0.005000
19620330       0.036851
19620430      -0.108943
19620531      -0.040146
19620629      -0.087452
19620731       0.115546
19620831       0.032015
19620928      -0.060219
19621031       0.060665
19621130       0.103321
19621231       0.033445
19630131       0.019544
19630228      -0.070288
19630329       0.032646
19630430       0.055276
19630531       0.066667
19630628      -0.053571
19630731      -0.011076
19630830       0.043200
19630930      -0.019939
19631031       0.055118
19631129      -0.014925
19631231       0.062727
19640131       0.008608
19640228      -0.025605
19640331       0.025401
19640430      -0.055874
19640528      -0.016692
19640630      -0.008642
19640731       0.045455
19640831       0.007496
19640930       0.070536
19641030      -0.020979
19641130       0.058571
19641231       0.012686
19650129       0.065684
19650226       0.005031
19650331       0.001752
19650430       0.047739
19650528      -0.008393
19650630      -0.067231
19650730       0.046936
19650831       0.042341
19650930       0.124492
19651029       0.010684
19651130      -0.038055
19651231       0.043077
19660131      -0.027542
19660228      -0.050109
19660331       0.010550
19660429       0.049087
19660531      -0.093580
19660630       0.025450
19660729      -0.100118
19660831      -0.109948
19660930       0.007647
19661031       0.122059
19661130       0.027523
19661230      -0.090306
19670131      -0.007062
19670228      -0.018492
19670331      -0.008406
19670428       0.117820
19670531      -0.093544
19670630       0.017733
19670731       0.243165
19670831       0.011574
19670929       0.032265
19671031      -0.054627
19671130      -0.017689
19671229      -0.071789
19680131      -0.084635
19680229      -0.003983
19680329      -0.005755
19680430       0.109986
19680531      -0.074055
19680628      -0.021277
19680730      -0.021739
19680830      -0.002963
19680930       0.021100
19681031       0.114370
19681129       0.048684
19681231      -0.051192
19690131      -0.011984
19690228      -0.060377
19690328       0.066474
19690430       0.059621
19690529      -0.035806
19690630      -0.038196
19690731      -0.043056
19690829      -0.027576
19690930       0.022687
19691031      -0.010294
19691128      -0.047548
19691231      -0.024649
19700130      -0.066129
19700227      -0.025907
19700331       0.055319
19700430      -0.033898
19700529      -0.068421
19700630       0.026742
19700731       0.138889
19700831       0.021138
19700930       0.083121
19701030       0.019259
19701130       0.027616
19701231       0.069590
19710129       0.057257
19710226       0.089421
19710331       0.041850
19710430       0.097098
19710528      -0.024415
19710630       0.019395
19710730      -0.121399
19710831       0.161592
19710930      -0.002419
19711029      -0.052846
19711130       0.025751
19711231       0.053975
19720131      -0.009980
19720229      -0.022177
19720330       0.071753
19720428       0.046422
19720531       0.016636
19720630      -0.038545
19720731      -0.041825
19720831       0.055556
19720929       0.003383
19721031      -0.037665
19721130       0.068102
19721229       0.073665
19730131      -0.039451
19730228      -0.039643
