Date      GE       IBM       SP
19260130 0.042945 -0.010381 0.022472
19260227 -0.005882 -0.024476 -0.043956
19260331 -0.089497 -0.115591 -0.059113
19260430 0.05601 0.089783 0.022688
19260528 -0.008904 0.036932 0.007679
19260630 0.091698 0.068493 0.043184
19260731 0.048246 0 0.045455
19260831 0.009763 0 0.017081
19260930 -0.019337 0.065104 0.022901
19261030 -0.068182 0.032258 -0.031343
19261130 0.071646 0.03125 0.022342
19261231 -0.036984 0.030303 0.016579
19270131 -0.010432 0.023041 -0.020756
19270228 0.031627 0.081081 0.047691
19270331 0.017518 0.183333 0.006503
19270430 0.109986 0.078571 0.017229
19270531 0.087353 0.149007 0.052223
19270630 0.05036 -0.048991 -0.00939
19270730 0.179724 0 0.064997
19270831 0.099609 0.119632 0.044501
19270930 -0.023091 0.019178 0.043214
19271031 -0.105311 -0.008152 -0.053092
19271130 0.089048 0.090411 0.067776
19271231 0.028195 0.218593 0.019042
19280131 -0.038674 0.041667 -0.005096
19280229 -0.01341 0.028 -0.017644
19280331 0.242718 0.004864 0.108343
19280430 0.028302 -0.006843 0.03241
19280531 -0.022936 -0.015748 0.012658
19280630 -0.032864 -0.004 -0.0405
19280731 -0.013115 -0.010142 0.012507
19280831 0.109635 0.071721 0.074112
19280929 -0.007485 0.078394 0.023958
19281031 0.001517 0.035778 0.014506
19281130 0.213636 0.105354 0.119926
19281231 0.116105 0.031953 0.002883
19290131 0.160271 -0.020032 0.057084
19290228 -0.044747 0.053148 -0.005828
19290328 -0.026477 0.001553 -0.002345
19290430 0.02521 0.124219 0.01606
19290531 0.095287 -0.011814 -0.042791
19290629 0.222638 0.188467 0.112364
19290731 0.162433 0.109524 0.045619
19290830 0.047682 0.034335 0.097992
19290930 -0.091656 -0.048237 -0.04888
19291031 -0.296581 -0.189041 -0.199271
19291127 -0.144841 -0.222973 -0.133747
19291231 0.136891 0.194261 0.025335
19300131 0.190965 0.010802 0.062471
19300228 0.05 0.067939 0.021501
19300331 0.115271 0.049321 0.079897
19300430 0.025148 -0.004121 -0.009547
19300529 -0.02886 0.075862 -0.016466
19300630 -0.160178 -0.105128 -0.164557
19300731 0.005338 0 0.036657
19300829 0.044248 0.040462 0.007544
19300930 -0.167458 -0.1125 -0.130089
19301031 -0.17418 -0.097946 -0.088757
19301129 -0.037221 0.022767 -0.021842
19301231 -0.092268 0.089555 -0.074231
19310131 0.008596 0.025 0.048892
19310228 0.193182 0.125203 0.114357
19310331 -0.075714 -0.049133 -0.069158
19310430 -0.088312 -0.023006 -0.095866
19310529 -0.119658 -0.211931 -0.137177
19310630 0.13657 0.191235 0.139017
19310731 -0.08046 -0.091216 -0.074174
19310831 0.015625 0.070632 0.009468
19310930 -0.326154 -0.229167 -0.299423
19311031 0.133333 0.114155 0.084449
19311130 -0.089796 -0.016393 -0.097816
19311231 -0.088789 -0.074687 -0.145263
19320130 -0.23 -0.045564 -0.028325
19320229 0.025974 0.023869 0.050697
19320331 -0.101266 -0.042945 -0.118215
19320430 -0.235714 -0.166667 -0.202462
19320531 -0.35514 -0.1625 -0.233276
19320630 0.113043 -0.048507 -0.008949
19320730 0.526316 0.200803 0.376975
19320831 0.431034 0.351171 0.37541
19320930 -0.09759 0.024752 -0.036949
19321031 -0.174497 -0.132353 -0.138614
19321130 -0.081301 -0.097458 -0.058908
19321231 0.133184 0.14554 0.051908
19330131 -0.008197 0.020833 0.007257
19330228 -0.206612 -0.167347 -0.184438
19330331 0.05 0 0.033569
19330429 0.56 0.470588 0.422222
19330531 0.141026 0.081081 0.158654
19330630 0.083146 0.1375 0.131743
19330731 -0.078125 0.02963 -0.087993
19330831 0.112994 0.061151 0.114573
19330930 -0.193909 -0.094915 -0.113616
19331031 -0.101266 -0.016098 -0.088505
19331129 0.126761 0.124158 0.102679
19331230 -0.02 -0.011986 0.022267
19340131 0.160256 0.029772 0.105941
19340228 -0.082873 -0.020408 -0.036705
19340331 0.085542 -0.065972 -0.000929
19340430 -0.039106 0.075188 -0.026977
19340531 -0.075581 -0.066434 -0.081262
19340630 0.007547 0.057116 0.020812
19340731 -0.08805 -0.043868 -0.115189
19340831 0.048276 0.029963 0.054147
