date             gm           sp
19500131       0.022688      0.017303
19500228       0.049488      0.009971
19500331       0.014925      0.004065
19500429       0.120915      0.045113
19500531       0.071429      0.039292
19500630      -0.031812     -0.058040
19500731      -0.025714      0.008479
19500831       0.101173      0.032511
19500929       0.090403      0.055917
19501031       0.022959      0.004113
19501130      -0.027431     -0.001024
19501230       0.000000      0.046130
19510131       0.078378      0.061244
19510228       0.027569      0.006464
19510331       0.032338     -0.018349
19510430       0.033735      0.048131
19510531      -0.055944     -0.040571
19510629      -0.065491     -0.026022
19510731       0.024259      0.068702
19510831       0.073684      0.039286
19510928       0.025000     -0.000859
19511031      -0.019512     -0.013758
19511130       0.022388     -0.002616
19511231       0.032258      0.038899
19520131      -0.016827      0.015566
19520229       0.009780     -0.036454
19520331       0.088889      0.047721
19520430      -0.027211     -0.043086
19520529       0.041958      0.023156
19520630       0.063781      0.046102
19520731       0.025696      0.017628
19520829       0.022965     -0.014567
19520930      -0.010373     -0.019577
19521031       0.018868     -0.000815
19521128       0.074074      0.046493
19521231       0.071984      0.035464
19530130      -0.012704     -0.007151
19530227      -0.011029     -0.018196
19530331      -0.047170     -0.023552
19530430      -0.013861     -0.026493
19530529       0.004016     -0.003249
19530630      -0.026423     -0.016300
19530731       0.008351      0.025269
19530831      -0.060041     -0.057778
19530930       0.000000      0.001286
19531030       0.085202      0.050964
19531130       0.006198      0.008965
19531231      -0.004175      0.002019
19540129       0.058700      0.051189
19540226       0.017822      0.002684
19540331       0.037549      0.030210
19540430       0.064762      0.048998
19540528       0.039356      0.032909
19540630       0.015707      0.000685
19540730       0.127148      0.057172
19540831      -0.042683     -0.034003
19540930       0.167742      0.083138
19541029      -0.006906     -0.019499
19541130       0.041725      0.080808
19541231       0.068213      0.050818
19550131       0.008940      0.018066
19550228      -0.024648      0.003549
19550331      -0.007958     -0.004897
19550429       0.053476      0.037726
19550531      -0.006345     -0.001317
19550630       0.126452      0.082300
19550729       0.252005      0.060687
19550831      -0.053065     -0.007813
19550930       0.114370      0.011348
19551031      -0.055263     -0.030456
19551130       0.103064      0.074870
19551230      -0.046392     -0.000659
19560131      -0.067568     -0.036500
19560229       0.057971      0.034687
19560329       0.030471      0.069255
19560430      -0.056452     -0.002063
19560531      -0.037037     -0.065730
19560629       0.077844      0.039159
19560731       0.047222      0.051522
19560831       0.010610     -0.038064
19560928      -0.013263     -0.045464
19561031      -0.016129      0.005072
19561130      -0.038251     -0.010970
19561231       0.011494      0.035271
19570131      -0.082386     -0.041783
19570228      -0.021672     -0.032648
19570329      -0.003205      0.019649
19570430       0.096463      0.036953
19570531       0.014663      0.036948
19570628       0.005848     -0.001265
19570731       0.046512      0.011400
19570830      -0.027778     -0.056147
19570930      -0.072254     -0.061920
19571031      -0.031153     -0.032060
19571129      -0.064309      0.016074
19571231      -0.066202     -0.041467
19580131       0.037313      0.042761
19580228      -0.007194     -0.020624
19580331       0.033088      0.030852
19580430       0.067616      0.031829
19580529       0.050000      0.014963
19580630       0.019293      0.026083
19580731       0.107256      0.043103
19580829      -0.005698      0.011867
19580930       0.104348      0.048377
19581031       0.023622      0.025370
19581128       0.005128      0.022404
19581231       0.020619      0.052020
19590130      -0.022727      0.003804
19590227      -0.036176     -0.000180
19590331      -0.024390      0.000541
19590430       0.097222      0.038781
19590529       0.053165      0.018927
19590630      -0.002427     -0.003579
19590731       0.102190      0.034890
19590831       0.026490     -0.015039
19590930      -0.047722     -0.045638
19591030      -0.034169      0.011252
19591130      -0.014151      0.013213
19591231       0.053140      0.027625
19600129      -0.121560     -0.071464
19600229      -0.028721      0.009171
19600331      -0.032609     -0.013899
19600429      -0.005618     -0.017528
19600531      -0.005650      0.026853
19600630       0.011494      0.019524
19600729       0.000000     -0.024772
19600831       0.036932      0.026121
19600930      -0.058172     -0.060393
19601031      -0.011765     -0.002429
19601130      -0.011905      0.040270
19601230      -0.009146      0.046273
19610131       0.083077      0.063156
19610228       0.034091      0.026870
19610330       0.025000      0.025536
19610428      -0.018970      0.003843
19610531      -0.002762      0.019139
19610630      -0.008403     -0.028846
19610731       0.064972      0.032797
19610831       0.000000      0.019623
19610929       0.064343     -0.019686
19611031       0.005038      0.028323
19611130       0.115288      0.039347
19611229       0.043478      0.003225
19620131       0.002193     -0.037876
19620228      -0.026258      0.016270
19620330       0.015873     -0.005860
19620430      -0.053571     -0.061970
19620531      -0.028302     -0.085990
19620629      -0.051471     -0.081838
19620731       0.074935      0.063562
19620831       0.033654      0.015284
19620928      -0.004695     -0.048207
19621031       0.033019      0.004443
19621130       0.043379      0.101557
19621231       0.044944      0.013492
19630131       0.079570      0.049128
19630228      -0.033865     -0.028852
19630329       0.081081      0.035464
19630430       0.051923      0.048520
