Year Mon Day gs1 gs10
1953 4 1 2.36 2.83
1953 5 1 2.48 3.05
1953 6 1 2.45 3.11
1953 7 1 2.38 2.93
1953 8 1 2.28 2.95
1953 9 1 2.2 2.87
1953 10 1 1.79 2.66
1953 11 1 1.67 2.68
1953 12 1 1.66 2.59
1954 1 1 1.41 2.48
1954 2 1 1.14 2.47
1954 3 1 1.13 2.37
1954 4 1 0.96 2.29
1954 5 1 0.85 2.37
1954 6 1 0.82 2.38
1954 7 1 0.84 2.3
1954 8 1 0.88 2.36
1954 9 1 1.03 2.38
1954 10 1 1.17 2.43
1954 11 1 1.14 2.48
1954 12 1 1.21 2.51
1955 1 1 1.39 2.61
1955 2 1 1.57 2.65
1955 3 1 1.59 2.68
1955 4 1 1.75 2.75
1955 5 1 1.9 2.76
1955 6 1 1.91 2.78
1955 7 1 2.02 2.9
1955 8 1 2.37 2.97
1955 9 1 2.36 2.97
1955 10 1 2.39 2.88
1955 11 1 2.48 2.89
1955 12 1 2.73 2.96
1956 1 1 2.58 2.9
1956 2 1 2.49 2.84
1956 3 1 2.61 2.96
1956 4 1 2.92 3.18
1956 5 1 2.94 3.07
1956 6 1 2.74 3
1956 7 1 2.76 3.11
1956 8 1 3.1 3.33
1956 9 1 3.35 3.38
1956 10 1 3.28 3.34
1956 11 1 3.44 3.49
1956 12 1 3.68 3.59
1957 1 1 3.37 3.46
1957 2 1 3.38 3.34
1957 3 1 3.42 3.41
1957 4 1 3.49 3.48
1957 5 1 3.48 3.6
1957 6 1 3.65 3.8
1957 7 1 3.81 3.93
1957 8 1 4.01 3.93
1957 9 1 4.07 3.92
1957 10 1 4.01 3.97
1957 11 1 3.57 3.72
1957 12 1 3.18 3.21
1958 1 1 2.65 3.09
1958 2 1 1.99 3.05
1958 3 1 1.84 2.98
1958 4 1 1.45 2.88
1958 5 1 1.37 2.92
1958 6 1 1.23 2.97
1958 7 1 1.61 3.2
1958 8 1 2.5 3.54
1958 9 1 3.05 3.76
1958 10 1 3.19 3.8
1958 11 1 3.1 3.74
1958 12 1 3.29 3.86
1959 1 1 3.36 4.02
1959 2 1 3.54 3.96
1959 3 1 3.61 3.99
1959 4 1 3.72 4.12
1959 5 1 3.96 4.31
1959 6 1 4.07 4.34
1959 7 1 4.39 4.4
1959 8 1 4.42 4.43
1959 9 1 5 4.68
1959 10 1 4.8 4.53
1959 11 1 4.81 4.53
1959 12 1 5.14 4.69
1960 1 1 5.03 4.72
1960 2 1 4.66 4.49
1960 3 1 4.02 4.25
1960 4 1 4.04 4.28
1960 5 1 4.21 4.35
1960 6 1 3.36 4.15
1960 7 1 3.2 3.9
1960 8 1 2.95 3.8
1960 9 1 3.07 3.8
1960 10 1 3.04 3.89
1960 11 1 3.08 3.93
1960 12 1 2.86 3.84
1961 1 1 2.81 3.84
1961 2 1 2.93 3.78
1961 3 1 2.88 3.74
1961 4 1 2.88 3.78
1961 5 1 2.87 3.71
1961 6 1 3.06 3.88
1961 7 1 2.92 3.92
1961 8 1 3.06 4.04
1961 9 1 3.06 3.98
1961 10 1 3.05 3.92
1961 11 1 3.07 3.94
1961 12 1 3.18 4.06
1962 1 1 3.28 4.08
1962 2 1 3.28 4.04
1962 3 1 3.06 3.93
1962 4 1 2.99 3.84
1962 5 1 3.03 3.87
1962 6 1 3.03 3.91
1962 7 1 3.29 4.01
1962 8 1 3.2 3.98
1962 9 1 3.06 3.98
1962 10 1 2.98 3.93
1962 11 1 3 3.92
1962 12 1 3.01 3.86
1963 1 1 3.04 3.83
1963 2 1 3.01 3.92
1963 3 1 3.03 3.93
1963 4 1 3.11 3.97
1963 5 1 3.12 3.93
1963 6 1 3.2 3.99
1963 7 1 3.48 4.02
1963 8 1 3.53 4
1963 9 1 3.57 4.08
1963 10 1 3.64 4.11
1963 11 1 3.74 4.12
1963 12 1 3.81 4.13
1964 1 1 3.79 4.17
1964 2 1 3.78 4.15
1964 3 1 3.91 4.22
1964 4 1 3.91 4.23
1964 5 1 3.84 4.2
1964 6 1 3.83 4.17
1964 7 1 3.72 4.19
1964 8 1 3.74 4.19
1964 9 1 3.84 4.2
1964 10 1 3.86 4.19
1964 11 1 3.91 4.15
1964 12 1 4.02 4.18
1965 1 1 3.94 4.19
1965 2 1 4.03 4.21
1965 3 1 4.06 4.21
1965 4 1 4.04 4.2
1965 5 1 4.03 4.21
1965 6 1 3.99 4.21
1965 7 1 3.98 4.2
1965 8 1 4.07 4.25
1965 9 1 4.2 4.29
1965 10 1 4.3 4.35
1965 11 1 4.37 4.45
1965 12 1 4.72 4.62
1966 1 1 4.88 4.61
1966 2 1 4.94 4.83
1966 3 1 4.97 4.87
1966 4 1 4.9 4.75
1966 5 1 4.93 4.78
1966 6 1 4.97 4.81
1966 7 1 5.17 5.02
1966 8 1 5.54 5.22
1966 9 1 5.82 5.18
1966 10 1 5.58 5.01
1966 11 1 5.54 5.16
1966 12 1 5.2 4.84
1967 1 1 4.75 4.58
1967 2 1 4.71 4.63
1967 3 1 4.35 4.54
1967 4 1 4.11 4.59
1967 5 1 4.15 4.85
1967 6 1 4.48 5.02
1967 7 1 5.01 5.16
1967 8 1 5.13 5.28
1967 9 1 5.24 5.3
1967 10 1 5.37 5.48
1967 11 1 5.61 5.75
1967 12 1 5.71 5.7
1968 1 1 5.43 5.53
1968 2 1 5.41 5.56
1968 3 1 5.58 5.74
1968 4 1 5.71 5.64
1968 5 1 6.14 5.87
1968 6 1 5.98 5.72
1968 7 1 5.65 5.5
1968 8 1 5.43 5.42
1968 9 1 5.45 5.46
1968 10 1 5.57 5.58
1968 11 1 5.75 5.7
1968 12 1 6.19 6.03
1969 1 1 6.34 6.04
1969 2 1 6.41 6.19
1969 3 1 6.34 6.3
1969 4 1 6.26 6.17
1969 5 1 6.42 6.32
1969 6 1 7.04 6.57
1969 7 1 7.6 6.72
1969 8 1 7.54 6.69
1969 9 1 7.82 7.16
1969 10 1 7.64 7.1
1969 11 1 7.89 7.14
1969 12 1 8.17 7.65
1970 1 1 8.1 7.79
1970 2 1 7.59 7.24
1970 3 1 6.97 7.07
1970 4 1 7.06 7.39
1970 5 1 7.75 7.91
1970 6 1 7.55 7.84
1970 7 1 7.1 7.46
1970 8 1 6.98 7.53
1970 9 1 6.73 7.39
1970 10 1 6.43 7.33
1970 11 1 5.51 6.84
1970 12 1 5 6.39
1971 1 1 4.57 6.24
1971 2 1 3.89 6.11
1971 3 1 3.69 5.7
1971 4 1 4.3 5.83
1971 5 1 5.04 6.39
1971 6 1 5.64 6.52
1971 7 1 6.04 6.73
1971 8 1 5.8 6.58
1971 9 1 5.41 6.14
1971 10 1 4.91 5.93
1971 11 1 4.67 5.81
1971 12 1 4.6 5.93
1972 1 1 4.28 5.95
1972 2 1 4.27 6.08
1972 3 1 4.67 6.07
1972 4 1 4.96 6.19
1972 5 1 4.64 6.13
1972 6 1 4.93 6.11
1972 7 1 4.96 6.11
1972 8 1 4.98 6.21
1972 9 1 5.52 6.55
1972 10 1 5.52 6.48
1972 11 1 5.27 6.28
1972 12 1 5.52 6.36
1973 1 1 5.89 6.46
1973 2 1 6.19 6.64
1973 3 1 6.85 6.71
1973 4 1 6.85 6.67
1973 5 1 6.89 6.85
1973 6 1 7.31 6.9
1973 7 1 8.39 7.13
1973 8 1 8.82 7.4
1973 9 1 8.31 7.09
1973 10 1 7.4 6.79
1973 11 1 7.57 6.73
1973 12 1 7.27 6.74
1974 1 1 7.42 6.99
1974 2 1 6.88 6.96
1974 3 1 7.76 7.21
1974 4 1 8.62 7.51
1974 5 1 8.78 7.58
1974 6 1 8.67 7.54
1974 7 1 8.8 7.81
1974 8 1 9.36 8.04
1974 9 1 8.87 8.04
1974 10 1 8.05 7.9
1974 11 1 7.66 7.68
1974 12 1 7.31 7.43
1975 1 1 6.83 7.5
1975 2 1 5.98 7.39
1975 3 1 6.11 7.73
1975 4 1 6.9 8.23
1975 5 1 6.39 8.06
1975 6 1 6.29 7.86
1975 7 1 7.11 8.06
1975 8 1 7.7 8.4
1975 9 1 7.75 8.43
1975 10 1 6.95 8.14
1975 11 1 6.49 8.05
1975 12 1 6.6 8
1976 1 1 5.81 7.74
1976 2 1 5.91 7.79
1976 3 1 6.21 7.73
1976 4 1 5.92 7.56
1976 5 1 6.4 7.9
1976 6 1 6.52 7.86
1976 7 1 6.2 7.83
1976 8 1 6 7.77
1976 9 1 5.84 7.59
1976 10 1 5.5 7.41
1976 11 1 5.29 7.29
1976 12 1 4.89 6.87
1977 1 1 5.29 7.21
1977 2 1 5.47 7.39
1977 3 1 5.5 7.46
1977 4 1 5.44 7.37
1977 5 1 5.84 7.46
1977 6 1 5.8 7.28
1977 7 1 5.94 7.33
1977 8 1 6.37 7.4
1977 9 1 6.53 7.34
1977 10 1 6.97 7.52
1977 11 1 6.95 7.58
1977 12 1 6.96 7.69
1978 1 1 7.28 7.96
1978 2 1 7.34 8.03
1978 3 1 7.31 8.04
1978 4 1 7.45 8.15
1978 5 1 7.82 8.35
1978 6 1 8.09 8.46
