date      IBM        HPQ      SP
19620131 -0.063903 -0.077703 -0.037876
19620228 -0.007841 -0.025641 0.01627
19620330 -0.007914 0.015038 -0.00586
19620430 -0.147818 -0.211111 -0.06197
19620531 -0.133811 -0.089202 -0.08599
19620629 -0.135669 -0.268041 -0.081838
19620731 0.140752 0.183099 0.063562
19620831 0.02584 0.071429 0.015284
19620928 -0.107886 -0.072222 -0.048207
19621031 -0.021216 -0.02994 0.004443
19621130 0.153902 0.234568 0.101557
19621231 -0.02133 -0.035 0.013492
19630131 0.086538 0.010363 0.049128
19630228 -0.054277 -0.148718 -0.028852
19630329 0.053158 -0.054217 0.035464
19630430 0.101544 0.159236 0.04852
19630531 0.031267 -0.021978 0.014327
19630628 -0.085909 -0.011236 -0.020198
19630731 -0.004011 -0.017045 -0.00346
19630830 0.025892 -0.052023 0.048749
19630930 0.016301 0.060976 -0.011034
19631031 0.09292 -0.08046 0.032218
19631129 -0.015182 -0.0125 -0.010539
19631231 0.044822 -0.031646 0.024444
19640131 0.069034 -0.065359 0.026926
19640228 0.052122 -0.006993 0.009865
19640331 0.044376 -0.007042 0.015167
19640430 -0.040387 0.099291 0.006077
19640528 0.05491 -0.032258 0.011452
19640630 -0.00625 0.046667 0.016424
19640731 -0.031447 -0.076433 0.01824
19640831 -0.043831 0.048276 -0.01623
19640930 -0.009081 0.019737 0.028718
19641030 -0.037801 0.096774 0.008078
19641130 -0.014881 -0.041176 -0.005185
19641231 -0.007273 0.110429 0.003909
19650129 0.095238 0.104972 0.033156
19650226 0.019509 0.055 -0.001485
19650331 -0.003291 -0.076777 -0.014526
19650430 0.067694 0.056701 0.034239
19650528 -0.01134 0.112195 -0.007743
19650630 -0.041841 -0.017544 -0.048632
19650730 0.045852 0.084821 0.013433
19650831 0.044885 0.08642 0.022522
19650930 0.027054 0.109091 0.032006
19651029 0.04 -0.061644 0.027345
19651130 -0.012195 0.058394 -0.008764
19651231 -0.049524 0.072414 0.008951
19660131 -0.006012 -0.045016 0.004869
19660228 0.041331 0.131313 -0.017873
19660331 0.001942 0.106548 -0.021815
19660429 0.080426 0.078167 0.020509
19660531 -0.021031 -0.0825 -0.05414
19660630 -0.02968 -0.029973 -0.016138
19660729 -0.027817 0.103933 -0.013453
19660831 -0.0562 -0.063613 -0.077751
19660930 -0.00936 -0.063043 -0.007004
19661031 0.045669 -0.005814 0.047544
19661130 0.135843 0.131579 0.003117
19661230 -0.011968 0.059432 -0.001492
19670131 0.07537 0.078049 0.078178
19670228 0.079099 0.085973 0.001963
19670331 0.048837 0.0725 0.03941
19670428 0.100887 0.157588 0.042239
19670531 -0.035234 -0.035294 -0.052441
19670630 0.067024 0.059233 0.017512
19670731 0.020603 0.098684 0.045344
19670831 -0.013589 -0.068862 -0.011715
19670929 0.097049 0.041479 0.032785
19671031 0.082535 0.020093 -0.029056
19671130 0.033024 -0.012121 0.001065
19671229 0.02451 -0.119632 0.026277
19680131 -0.051834 -0.146341 -0.043848
19680229 -0.022204 -0.028571 -0.031223
19680329 0.056034 0.239076 0.0094
19680430 0.106122 0.079796 0.081929
19680531 0.055793 0.044025 0.011169
19680628 -0.009104 -0.027108 0.00912
19680730 -0.042403 -0.082043 -0.018478
19680830 -0.009151 0.028668 0.011459
19680930 0 0.011148 0.038539
19681031 -0.081642 0.082792 0.007208
19681129 0.087134 0.073463 0.047964
19681231 -0.05618 -0.062849 -0.041617
19690131 -0.059524 -0.025335 -0.008184
19690228 -0.007004 -0.045872 -0.047374
19690328 0.070303 0.127885 0.034444
19690430 0.044586 -0.02845 0.021476
19690529 -0.025 0.070278 -0.002218
19690630 0.058777 -0.105335 -0.055577
19690731 -0.03923 0.059633 -0.060178
19690829 0.066256 0.053391 0.040074
19690930 0.000725 0.049041 -0.025024
19691031 0.044171 0.129412 0.044244
19691128 -0.006935 -0.075231 -0.035274
19691231 0.021008 0.031289 -0.018655
19700130 -0.080247 -0.026699 -0.076472
19700227 0.018494 -0.004988 0.052693
19700331 -0.005143 -0.110777 0.001453
19700430 -0.119645 -0.073446 -0.090483
19700529 -0.063087 -0.295732 -0.060967
19700630 -0.100719 -0.186147 -0.050033
19700731 0.0138 -0.042553 0.073295
19700831 0.0555 0.172222 0.044459
19700930 0.095775 0.027488 0.032998
19701030 0.011825 -0.018519 -0.0114
19701130 0.045068 -0.037736 0.047447
19701231 0.034174 0.176471 0.056766
19710129 0.02439 0.129167 0.040477
19710226 0.037788 0.055351 0.009074
19710331 0.062407 0.100699 0.036796
19710430 0.000699 0.006369 0.036288
19710528 -0.08232 -0.009494 -0.041558
19710630 -0.030581 0.015974 0.000703
19710730 -0.08123 -0.031447 -0.041324
19710831 0.04824 0.006494 0.036095
19710930 -0.000822 0.154194 -0.006968
19711029 -0.0107 -0.10084 -0.041794
19711130 0.020965 0.043614 -0.002547
19711231 0.101473 0.143284 0.086179
19720131 0.093611 0.049608 0.018121
19720229 0.005027 0.084577 0.025303
19720330 0.037313 0.027064 0.005912
19720428 0.00981 0.01566 0.004384
19720531 0.033938 0.202643 0.017275
19720630 -0.014456 0.007326 -0.021821
19720731 0.022321 0.045455 0.002333
19720831 0.022707 -0.012174 0.034454
19720929 -0.004896 0.019014 -0.004861
19721031 -0.051661 -0.043253 0.009317
19721130 0.017769 0.070524 0.045617
19721229 0.028133 0.168919 0.011828
19730131 0.083333 0.041908 -0.017111
19730228 -0.00597 -0.047157 -0.03749
19730330 0 -0.016303 -0.001433
19730430 -0.054461 -0.031111 -0.0408
19730531 -0.032261 -0.006116 -0.018884
19730629 0.007149 -0.024615 -0.006575
19730731 -0.007886 0.102524 0.037982
19730831 -0.039364 -0.082976 -0.036685
19730928 -0.142857 0.094852 0.040096
19731031 0.08624 0.101284 -0.001291
19731130 -0.050419 -0.196891 -0.113861
19731231 -0.068868 0.043548 0.016569
19740131 -0.006079 0.017002 -0.010046
19740228 -0.024852 -0.007599 -0.003624
19740329 -0.008933 0.056355 -0.02328
19740430 -0.036055 -0.04209 -0.039051
19740531 -0.059274 0.065152 -0.033551
19740628 0.001176 -0.055477 -0.014665
19740731 -0.052291 -0.112952 -0.077791
19740830 -0.040298 -0.013582 -0.090279
19740930 -0.171875 -0.205164 -0.119335
19741031 0.189465 0.138829 0.163047
19741129 -0.054858 -0.093333 -0.05318
19741231 -0.052186 0.010504 -0.020151
19750131 0.120536 0.114345 0.122812
19750228 0.152722 0.259328 0.059886
19750331 -0.041183 0.091556 0.021694
19750430 0.015729 0.138587 0.047265
19750530 0.031566 0.095465 0.044101
19750630 -0.027907 0.038126 0.044323
19750731 -0.089713 -0.102833 -0.067654
