  ibm        sp5   summer
 -1.0434    2.2221  0
 -2.4785   -4.4956  0
-12.2835   -6.0929  0
  8.5976    2.2436  0
  3.6264    0.7651  0
  6.6246    4.2274  1
  0.0000    4.4447  1
  0.0000    1.6936  1
  6.3069    2.2642  0
  3.1751   -3.1842  0
  3.0772    2.2094  0
  2.9850    1.6444  0
  2.2779   -2.0979  0
  7.7961    4.6588  0
 16.8333    0.6479  0
  7.5636    1.7083  0
 13.8901    5.0902  0
 -5.0231   -0.9434  1
  8.2400    6.2975  1
  3.0597    4.3538  1
  1.8998    4.2302  0
 -0.8183   -5.4551  0
  8.6554    6.5582  0
 19.7694    1.8861  0
  4.0825   -0.5113  0
  2.7615   -1.7797  0
  0.4848   10.2863  0
 -0.6863    3.1896  0
 -1.5875    1.2580  0
 -0.4008   -4.1343  1
 -1.0192    1.2432  1
  6.9265    7.1492  1
  7.5469    2.3677  0
  3.5155    1.4406  0
 10.0162   11.3266  0
  3.1450    0.2876  0
 -2.0233    5.5510  0
  5.1786   -0.5847  0
  0.1549   -0.2343  0
 11.7090    1.5932  0
 -1.1880   -4.3733  0
 17.2667   10.6484  1
 10.3927    4.4610  1
  3.3754    9.3481  1
 -4.9442   -5.0115  0
-20.9536  -22.2232  0
-25.2276  -14.3582  0
 17.7091    2.5015  0
  1.0742    6.0596  0
  6.5732    2.1272  0
  4.8142    7.6868  0
 -0.4128   -0.9596  0
  7.3120   -1.6607  0
-11.1077  -17.9797  1
  0.0000    3.6004  1
  3.9663    0.7512  1
-11.9347  -13.9366  0
-10.3085   -9.2949  0
  2.2515   -2.2082  0
  8.5297   -7.7130  0
  2.4693    4.7733  0
 11.7961   10.8280  0
 -5.0378   -7.1668  0
 -2.3279  -10.0782  0
-23.8168  -14.7549  0
 17.4995   13.0168  1
 -9.5652   -7.7065  1
  6.8247    0.9425  1
-26.0287  -35.5847  0
 10.8101    8.1073  0
 -1.6526  -10.2941  0
 -7.8297  -15.6958  0
 -4.6631   -2.8739  0
  2.3590    4.9457  0
 -4.3889  -12.5801  0
-18.2326  -22.6223  0
-17.7334  -26.5634  0
 -4.9726   -0.8990  1
 18.2988   31.9893  1
 30.0971   31.8752  1
  2.4449   -3.7650  0
-14.1967  -14.9208  0
-10.2542   -6.0717  0
 13.5876    5.0608  0
  2.0616    0.7234  0
-18.3142  -20.3880  0
 15.6944    3.3019  0
 23.2190   35.2219  0
  7.7961   14.7255  0
 12.8833   12.3756  1
  2.9200   -9.2104  1
  5.9353   10.8469  1
 -9.9732  -12.0610  0
 -1.6231   -9.2664  0
 11.7036    9.7744  0
 -1.2062    2.2026  0
  2.9335   10.0696  0
 -2.0621   -3.7401  0
 -6.8247   -0.0930  0
  7.2497   -2.7351  0
 -6.8739   -8.4752  0
  5.5548    2.0596  1
 -4.4861  -12.2382  1
  2.9520    5.2735  1
  3.5715   -0.5475  0
 -1.4282   -3.2389  0
 10.5719    7.9606  0
  1.6365   -0.4199  0
 -0.6582   -4.3022  0
  4.8314   -4.0364  0
  1.0168   -3.1377  0
  8.9365    9.1329  0
 -0.8657    3.1818  0
  3.4189    6.5647  1
  3.3338    7.9818  1
 -0.6853    2.1429  1
 -1.3856    2.3570  0
  1.3962    7.2376  0
  1.2403    3.8576  0
  1.4829    3.6399  0
  2.4234    6.3463  0
 -4.9064    1.6631  0
  3.3899    2.5112  0
 -9.6996   -8.0213  0
  2.4390    4.4734  0
  4.4189    3.0102  1
 -4.6107    6.5844  1
  2.2573    0.8791  1
  2.3892    0.1249  0
  0.2567    7.2274  0
 10.7993    0.4062  0
 -0.1311   -0.5807  0
 -4.5384    3.7132  0
 -1.6068    1.4475  0
 -4.6452   -0.9445  0
  1.6287   -8.6811  0
 -7.3399   -1.0404  0
  0.3304   -5.4340  1
  6.7659    9.7671  1
 -6.7658   -5.6951  1
 -1.5114  -15.3314  0
 -2.2471  -10.7296  0
 -8.0039  -10.6617  0
  4.6263   -5.1725  0
  6.8873    1.3183  0
  4.6674    5.9023  0
-10.5905  -28.8269  0
  6.6939   13.2063  0
  1.7830   -4.5343  0
  9.1129   22.0765  1
  6.3116    7.0142  1
 -0.6139   -2.7803  1
  1.2235    1.4820  0
  6.8172    7.3232  0
  0.8563   -3.3981  0
  5.7948    3.7016  0
 -4.0676   -7.1378  0
  3.6621    3.2002  0
 -3.4654  -14.5523  0
 -1.4992   -0.5475  0
  6.7883    6.0408  0
 -0.3536   -6.5915  1
  6.6321   10.3152  1
 -9.8252   -7.4110  1
 -1.4860   15.2360  0
  8.3983   -1.4698  0
  0.0000   -5.0346  0
  3.8817    2.3492  0
 -2.9388   -3.5865  0
  5.0047    0.6618  0
 -0.6813    0.9841  0
 -1.3450   -0.4912  0
-17.6499  -27.3832  0
 -4.8791    7.3799  1
  2.4956    3.0587  1
  0.5266    2.5902  1
  9.0362    0.9425  0
  1.7614    3.8644  0
  0.6330   -4.3346  0
  1.7201   -0.2834  0
  0.0700   -4.9400  0
 -1.4890   -1.5012  0
  3.3193    0.4022  0
 -8.5351   -6.7487  0
  6.4373    0.4291  0
  3.4314    5.2099  1
  2.5619    5.3370  1
 -0.7135   -0.8698  1
  2.5161   -0.9757  0
 -3.1852   -7.1099  0
  0.3235   -4.3022  0
 -1.6262   -4.6096  0
-11.8412    1.3715  0
 -3.7889   -2.5287  0
 -3.7276   -6.9908  0
 -0.8587   -4.4684  0
  3.8576    6.2007  0
 10.0063    1.8233  1
  2.8063    3.0849  1
  1.8282    0.6985  1
  0.3613    2.6330  0
  1.9871    6.2421  0
  5.7353   -1.3896  0
  2.0067    5.0379  0
  7.6822    6.9200  0
  1.1316    4.9380  0
  4.1343    5.1387  0
  0.6211    0.0860  0
  4.8352    4.3892  0
  0.8890    1.9626  1
 -1.4860   -5.5777  1
  3.2399    1.0218  1
  1.8832    2.3453  0
 -1.0091   -1.3339  0
 -3.2399   -7.8502  0
  4.4323    5.7306  0
 -2.9326    1.5302  0
 -2.2113   -0.2533  0
 10.2611    1.6779  0
 -0.9505   -1.2558  0
  1.3864    3.9644  0
  0.5833    4.9752  1
  1.2640   -2.1019  1
  3.6978    0.8613  1
  0.6946   -0.3125  0
 -3.6674    0.0000  0
  6.2656    0.3902  0
  0.6777    3.4469  0
 -1.5388    1.4209  0
  4.8514    5.9796  0
 -0.9041   -4.7249  0
  4.3720    8.4323  0
  4.3174    1.1395  0
 -1.5601   -0.3336  1
  0.5226   -2.0254  1
  1.4238    5.6361  1
  4.0614    4.1056  0
  9.9375    2.9869  0
  9.4492    3.1915  0
 -1.8734    0.9841  0
  2.3873    6.7378  0
