date            ibm           vw            ew
19260130      -0.010381      0.000724      0.023174
19260227      -0.024476     -0.033374     -0.053510
19260331      -0.115591     -0.064341     -0.096824
19260430       0.089783      0.038358      0.032946
19260528       0.036932      0.012172      0.001035
19260630       0.068493      0.056888      0.050487
19260731       0.000000      0.028365      0.013076
19260831       0.000000      0.028065      0.031002
19260930       0.065104      0.005890     -0.006499
19261030       0.032258     -0.031066     -0.034630
19261130       0.031250      0.027547      0.024776
19261231       0.030303      0.030466      0.025516
19270131       0.023041      0.001449      0.012556
19270228       0.081081      0.045821      0.055756
19270331       0.183333      0.006245     -0.019290
19270430       0.078571      0.006638      0.007494
19270531       0.149007      0.056948      0.062691
19270630      -0.048991     -0.020372     -0.019708
19270730        .            0.075659      0.058080
19270831       0.119632      0.027050      0.004247
19270930       0.019178      0.049025      0.032308
19271031      -0.008152     -0.041894     -0.038529
19271130       0.090411      0.068685      0.097758
19271231       0.218593      0.023658      0.029677
19280131       0.041667     -0.003541      0.032441
19280229       0.028000     -0.014416     -0.022508
19280331       0.004864      0.090905      0.071583
19280430      -0.006843      0.043168      0.087466
19280531      -0.015748      0.018386      0.037591
19280630      -0.004000     -0.045334     -0.069074
19280731      -0.010142      0.010074      0.003047
19280831       0.071721      0.069607      0.058396
19280929       0.078394      0.031445      0.049244
19281031       0.035778      0.018801      0.017469
19281130       0.105354      0.121287      0.115203
19281231       0.031953      0.005262     -0.005552
19290131      -0.020032      0.052099      0.033526
19290228       0.053148     -0.000190      0.006487
19290328       0.001553     -0.007971     -0.032105
19290430       0.124219      0.016786      0.014024
19290531      -0.011814     -0.059109     -0.091046
19290629       0.188467      0.099650      0.073428
19290731       0.109524      0.045348      0.018561
19290830       0.034335      0.085580      0.028368
19290930      -0.048237     -0.050009     -0.043730
19291031      -0.189041     -0.195499     -0.212145
19291127      -0.222973     -0.123267     -0.122533
19291231       0.194261      0.017974     -0.025598
19300131       0.010802      0.056640      0.109826
19300228       0.067939      0.027701      0.033599
19300331       0.049321      0.075027      0.103754
19300430      -0.004121     -0.020885     -0.041600
19300529       0.075862     -0.013252     -0.037227
19300630      -0.105128     -0.157873     -0.188159
19300731       0.000000      0.039659      0.037631
19300829       0.040462      0.004120     -0.017319
19300930      -0.112500     -0.124009     -0.150475
19301031      -0.097946     -0.086989     -0.096057
19301129       0.022767     -0.025990     -0.024128
19301231       0.089555     -0.078419     -0.136846
19310131       0.025000      0.062534      0.141828
19310228       0.125203      0.109401      0.156753
19310331      -0.049133     -0.064041     -0.061871
19310430      -0.023006     -0.098484     -0.150870
19310529      -0.211931     -0.132915     -0.140379
19310630       0.191235      0.137961      0.182170
19310731      -0.091216     -0.065034     -0.070214
19310831       0.070632      0.002348     -0.018724
19310930      -0.229167     -0.290070     -0.312753
19311031       0.114155      0.079160      0.105333
19311130      -0.016393     -0.088776     -0.088216
19311231      -0.074687     -0.133406     -0.187239
19320130      -0.045564     -0.010780      0.085920
19320229       0.023869      0.056004      0.022732
19320331      -0.042945     -0.108741     -0.119564
19320430      -0.166667     -0.179220     -0.181056
19320531      -0.162500     -0.207520     -0.202303
19320630      -0.048507     -0.005089      0.041277
19320730       0.200803      0.337451      0.433499
19320831       0.351171      0.366025      0.665936
19320930       0.024752     -0.030885     -0.059442
19321031      -0.132353     -0.131180     -0.164793
19321130      -0.097458     -0.055696     -0.073874
19321231       0.145540      0.045762     -0.036622
19330131       0.020833      0.009781      0.035883
19330228      -0.167347     -0.150298     -0.155443
19330331        .            0.033990      0.100121
19330429       0.470588      0.383683      0.518249
19330531       0.081081      0.211855      0.605986
19330630       0.137500      0.134354      0.226430
19330731       0.029630     -0.096081     -0.092417
19330831       0.061151      0.121270      0.114552
19330930      -0.094915     -0.104652     -0.150009
19331031      -0.016098     -0.083225     -0.107887
19331129       0.124158      0.099908      0.065094
19331230      -0.011986      0.019984      0.017242
19340131       0.029772      0.129779      0.315546
19340228      -0.020408     -0.023275      0.010863
19340331      -0.065972      0.004782      0.008062
19340430       0.075188     -0.017934      0.000264
19340531      -0.066434     -0.070987     -0.107240
19340630       0.057116      0.025152      0.003578
19340731      -0.043868     -0.108241     -0.186303
19340831       0.029963      0.059615      0.098561
19340929       0.036364     -0.002997     -0.011748
19341031      -0.014184     -0.019316     -0.019230
19341130       0.111511      0.084073      0.128705
19341231       0.016505      0.003899      0.014735
19350131      -0.006557     -0.032808     -0.029663
19350228       0.049505     -0.018599     -0.056016
19350330       0.010220     -0.037041     -0.073353
19350430       0.093480      0.089162      0.101628
19350531      -0.008621      0.034776      0.024401
19350629       0.034783      0.055268      0.040189
19350731       0.033898      0.073647      0.110382
19350831      -0.006831      0.026128      0.083084
19350930      -0.013755      0.025872      0.023798
19351031       0.014065      0.071339      0.082776
19351130       0.012483      0.051857      0.145782
19351231       0.014938      0.046096      0.060243
19360131       0.024527      0.066080      0.150165
19360229      -0.047880      0.025699      0.045619
19360331       0.034483      0.009417      0.005947
19360430      -0.092437     -0.080497     -0.122963
19360529       0.024691      0.050286      0.051218
19360630       0.045181      0.025993     -0.000325
19360731      -0.045058      0.064638      0.081930
19360831       0.022831      0.010813      0.021447
19360930       0.024182      0.014343      0.032668
19361031       0.002565      0.069087      0.063755
19361130       0.114035      0.033293      0.091427
19361231      -0.001312      0.002066      0.027306
19370130      -0.044371      0.032524      0.076221
19370227      -0.015939      0.013041      0.023904
19370331      -0.045387     -0.003535      0.001065
19370430       0.016419     -0.074236     -0.101024
19370528      -0.070769     -0.008563     -0.024524
19370630       0.003311     -0.041592     -0.076702
19370731       0.070000      0.088881      0.099611
19370831      -0.065421     -0.048620     -0.052749
19370930      -0.015000     -0.135401     -0.193182
19371030      -0.022222     -0.094675     -0.101549
19371130      -0.076923     -0.083731     -0.108639
19371231       0.047348     -0.040104     -0.099215
19380131       0.071298      0.007625      0.042060
19380228       0.047782      0.057866      0.061061
19380331      -0.100489     -0.237131     -0.285564
19380430       0.069231      0.145642      0.206200
19380531       0.017986     -0.039230     -0.070462
19380630       0.095406      0.236062      0.306353
19380730       0.065147      0.071869      0.121836
19380831      -0.006116     -0.027202     -0.063787
19380930       0.012308      0.008559     -0.014633
19381031       0.070552      0.077848      0.144539
19381130       0.008596     -0.018317     -0.036530
19381231       0.059659      0.041013      0.033472
19390131      -0.039865     -0.059613     -0.075729
19390228       0.037298      0.034935      0.041384
19390331      -0.034057     -0.119241     -0.173763
19390429      -0.014881     -0.002334      0.002429
19390531       0.070242      0.068729      0.086137
19390630      -0.003529     -0.052833     -0.083303
19390731       0.068571      0.101761      0.135497
19390831      -0.093583     -0.066110     -0.106495
19390930      -0.014749      0.159628      0.391878
19391031       0.087613     -0.003843     -0.006939
19391130       0.000000     -0.036778     -0.081311
19391230       0.039583      0.030342      0.017811
19400131      -0.028956     -0.024020     -0.019978
19400229       0.051318      0.013664      0.029733
19400330      -0.006794      0.018939      0.026168
