Date         ibm         vw           ew          sp
19260130    -0.01038     0.00031     0.02319     0.02247
19260227    -0.02448    -0.03192    -0.05311    -0.04396
19260331    -0.11559    -0.06470    -0.09689    -0.05911
19260430     0.08978     0.03704     0.03137     0.02269
19260528     0.03693     0.01452     0.00360     0.00768
19260630     0.06849     0.05561     0.05112     0.04318
19260731     0.00000     0.02870     0.01316     0.04545
19260831     0.00000     0.02768     0.02770     0.01708
19260930     0.06510     0.00246    -0.00619     0.02290
19261030     0.03226    -0.02790    -0.03107    -0.03134
19261130     0.03125     0.02757     0.02362     0.02234
19261231     0.03030     0.02926     0.02599     0.01658
19270131     0.02304     0.00175     0.01052    -0.02076
19270228     0.08108     0.04517     0.05652     0.04769
19270331     0.18333     0.00673    -0.01921     0.00650
19270430     0.07857     0.00681     0.00853     0.01723
19270531     0.14901     0.05709     0.06184     0.05222
19270630    -0.04899    -0.02035    -0.01919    -0.00939
19270730     0.08589     0.07568     0.05855     0.06500
19270831     0.03107     0.02546     0.00356     0.04450
19270930     0.01918     0.04687     0.03275     0.04321
19271031    -0.00815    -0.03953    -0.03848    -0.05309
19271130     0.09041     0.06931     0.09736     0.06778
19271231     0.21859     0.02309     0.03001     0.01904
19280131     0.04167    -0.00294     0.03269    -0.00510
19280229     0.02800    -0.01357    -0.02241    -0.01764
19280331     0.00486     0.08978     0.07087     0.10834
19280430    -0.00684     0.04292     0.08638     0.03241
19280531    -0.01575     0.01951     0.03782     0.01266
19280630    -0.00400    -0.04602    -0.06829    -0.04050
19280731    -0.01014     0.01025     0.00358     0.01251
19280831     0.07172     0.06798     0.05735     0.07411
19280929     0.07839     0.03105     0.05009     0.02396
19281031     0.03578     0.02080     0.01635     0.01451
19281130     0.10535     0.12073     0.11648     0.11993
19281231     0.03195     0.00377    -0.00493     0.00288
19290131    -0.02003     0.05324     0.03312     0.05708
19290228     0.05315    -0.00101     0.00642    -0.00583
19290328     0.00155    -0.00745    -0.03222    -0.00234
19290430     0.12422     0.01783     0.01402     0.01606
19290531    -0.01181    -0.05584    -0.08950    -0.04279
19290629     0.18847     0.09898     0.07352     0.11236
19290731     0.10952     0.04561     0.01935     0.04562
19290830     0.03433     0.08419     0.02615     0.09799
19290930    -0.04824    -0.04947    -0.04257    -0.04888
19291031    -0.18904    -0.19568    -0.21238    -0.19927
19291127    -0.22297    -0.12267    -0.12153    -0.13375
19291231     0.19374     0.01783    -0.02551     0.02533
19300131     0.01080     0.05552     0.10852     0.06247
19300228     0.06794     0.02639     0.03199     0.02150
19300331     0.04932     0.07642     0.10237     0.07990
19300430    -0.00412    -0.02180    -0.04141    -0.00955
19300529     0.07586    -0.01285    -0.03844    -0.01647
19300630    -0.10513    -0.15740    -0.18741    -0.16456
19300731     0.00000     0.04092     0.03914     0.03666
19300829     0.04046     0.00312    -0.01870     0.00754
19300930    -0.11250    -0.12438    -0.14971    -0.13009
19301031    -0.09795    -0.08402    -0.09497    -0.08876
19301129     0.02277    -0.02594    -0.02458    -0.02184
19301231     0.08904    -0.07753    -0.13733    -0.07423
19310131     0.02500     0.06205     0.14126     0.04889
19310228     0.12520     0.10900     0.15757     0.11436
19310331    -0.04913    -0.06436    -0.06364    -0.06916
19310430    -0.02301    -0.09846    -0.15123    -0.09587
19310529    -0.21193    -0.13299    -0.14022    -0.13718
19310630     0.19124     0.13770     0.18009     0.13902
19310731    -0.09122    -0.06384    -0.07055    -0.07417
19310831     0.07063     0.00085    -0.01881     0.00947
19310930    -0.22917    -0.28977    -0.31184    -0.29942
19311031     0.11416     0.08070     0.11047     0.08445
19311130    -0.01639    -0.08942    -0.08268    -0.09782
19311231    -0.07531    -0.13487    -0.18693    -0.14526
19320130    -0.04556    -0.01067     0.09027    -0.02833
19320229     0.02387     0.05693     0.02357     0.05070
19320331    -0.04294    -0.10931    -0.11735    -0.11821
19320430    -0.16667    -0.18004    -0.18464    -0.20246
19320531    -0.16250    -0.20692    -0.19959    -0.23328
19320630    -0.04851    -0.00945     0.04619    -0.00895
19320730     0.20080     0.33139     0.43267     0.37698
19320831     0.35117     0.36534     0.65507     0.37541
19320930     0.02475    -0.03154    -0.05397    -0.03695
19321031    -0.13235    -0.13059    -0.16391    -0.13861
19321130    -0.09746    -0.05563    -0.07347    -0.05891
19321231     0.14554     0.04485    -0.03688     0.05191
19330131     0.02083     0.00969     0.03960     0.00726
19330228    -0.16735    -0.13287    -0.12104    -0.18444
19330331     0.16993     0.01599     0.05972     0.03357
19330429     0.26136     0.38272     0.51785     0.42222
19330531     0.08108     0.21205     0.60311     0.15865
19330630     0.13750     0.13372     0.22455     0.13174
19330731     0.02963    -0.09610    -0.09217    -0.08799
19330831     0.06115     0.12170     0.11293     0.11457
