date             mrk
19460628      -0.025926
19460731      -0.030534
19460830       0.043307
19460930      -0.105660
19461031      -0.008475
19461130       0.064103
19461231       0.064257
19470131      -0.075000
19470228      -0.051975
19470331      -0.028947
19470430      -0.072727
19470529      -0.093137
19470630       0.107568
19470731       0.076167
19470829      -0.050228
19470930      -0.050962
19471031      -0.030612
19471129       0.042105
19471231       0.072727
19480131      -0.033654
19480228      -0.059701
19480331       0.134392
19480430       0.066038
19480528       0.090708
19480630       0.001623
19480730      -0.047035
19480831       0.053648
19480930      -0.057434
19481030       0.065502
19481130      -0.049180
19481231       0.031897
19490131       0.029915
19490228      -0.020747
19490331       0.033898
19490430      -0.087137
19490531       0.063636
19490630       0.094017
19490729       0.071146
19490831       0.003690
19490930       0.080882
19491031       0.044674
19491130       0.062500
19491231       0.068111
19500131      -0.011696
19500228       0.011834
19500331      -0.043860
19500429       0.265432
19500531       0.019512
19500630       0.045455
19500731      -0.138249
19500831       0.109626
19500929       0.038554
19501031      -0.018692
19501130       0.061905
19501230       0.165919
19510131      -0.015625
19510228       0.023810
19510331       0.094961
19510430       0.233512
19510531      -0.059249
19510629       0.050691
19510731       0.282353
19510831      -0.061927
19510928       0.022849
19511031      -0.065693
19511130       0.007813
19511231       0.009302
19520131       0.042636
19520229      -0.081784
19520331      -0.013765
19520430      -0.082645
19520529       0.081081
19520630      -0.085000
19520731      -0.013761
19520829      -0.051163
19520930      -0.041176
19521031       0.025773
19521128       0.115578
19521231      -0.078378
19530130      -0.068966
19530227      -0.010582
19530331      -0.023529
19530430      -0.110497
19530529      -0.006211
19530630      -0.015000
19530731       0.006410
19530831      -0.063694
19530930       0.038095
19531030       0.013245
19531130       0.137255
19531231      -0.077011
19540129       0.081761
19540226      -0.040698
19540331       0.009697
19540430       0.006061
19540528      -0.030120
19540630      -0.095652
19540730       0.166667
19540831      -0.059524
19540930      -0.021519
19541029      -0.052288
19541130       0.110345
19541231       0.177640
19550131      -0.015957
19550228      -0.010811
19550331       0.178142
19550429      -0.093458
19550531      -0.005155
19550630      -0.059067
19550729       0.005556
19550831       0.005525
19550930      -0.013187
19551031       0.039326
19551130       0.086486
19551230       0.107463
19560131      -0.076923
19560229       0.073529
19560329       0.043836
19560430      -0.004405
19560531       0.123894
19560629       0.061417
19560731       0.011194
19560831       0.000000
19560928      -0.156458
19561031       0.035242
19561130       0.017021
19561231       0.061088
19570131       0.028000
19570228      -0.019455
19570329       0.083333
19570430       0.073801
19570531      -0.058419
19570628       0.094891
19570731       0.046980
19570830       0.000000
19570930      -0.019231
19571031       0.055921
19571129       0.099688
19571231      -0.031161
19580131      -0.032544
19580228       0.048930
19580331       0.114869
19580430       0.044737
19580529       0.070529
19580630       0.066824
19580731       0.046563
19580829       0.091102
19580930       0.119223
19581031      -0.038328
19581128       0.101449
19581231       0.020395
19590130      -0.032468
19590227       0.016779
19590331       0.042574
19590430       0.074722
19590529      -0.005917
19590630       0.007143
19590731      -0.019288
19590831      -0.074130
19590930       0.027451
19591030      -0.049521
19591130       0.136134
19591231      -0.040237
19600129      -0.074534
19600229       0.078859
19600331       0.006532
19600429       0.055901
19600531       0.123529
19600630      -0.108377
19600729       0.008850
19600831       0.029240
19600930      -0.075000
19601031      -0.043210
19601130      -0.003226
19601230       0.103883
19610131      -0.036819
19610228       0.082569
19610330      -0.023729
19610428       0.014535
19610531      -0.037249
19610630       0.015179
19610731       0.007364
19610831      -0.004386
19610929      -0.034949
19611031      -0.070336
19611130       0.164474
19611229       0.010169
19620131      -0.067416
19620228       0.075301
19620330       0.060504
19620430      -0.104775
19620531      -0.124444
19620629      -0.114721
19620731       0.148077
19620831      -0.152429
19620928       0.035968
19621031       0.059501
19621130       0.134058
19621231       0.000319
19630131       0.107891
19630228      -0.063953
19630329       0.038199
19630430       0.079699
19630531       0.001393
19630628       0.007789
19630731       0.058252
19630830       0.131062
19630930      -0.089687
19631031       0.079284
19631129      -0.024882
19631231       0.071203
19640131       0.038813
19640228       0.037363
19640331      -0.006356
19640430      -0.035332
19640528      -0.064373
19640630       0.065623
19640731       0.110738
19640831      -0.021148
19640930       0.069259
19641030       0.043478
19641130       0.044444
19641231       0.066489
19650129       0.042821
19650226      -0.002415
19650331       0.009685
19650430       0.093976
19650528      -0.035242
19650630      -0.002283
19650730       0.036782
19650831       0.088692
19650930       0.002037
19651029       0.136735
19651130      -0.016158
19651231       0.036765
19660131       0.001773
19660228       0.037168
19660331       0.058703
19660429      -0.025890
19660531      -0.018272
19660630       0.051438
19660729      -0.035541
19660831      -0.075377
19660930       0.042391
19661031       0.026178
19661130       0.082313
19661230      -0.028481
19670131      -0.006515
19670228       0.032787
19670331       0.039365
19670428       0.039877
19670531      -0.091445
19670630       0.069481
19670731       0.076220
19670831      -0.002833
19670929      -0.007386
19671031      -0.048851
19671130       0.037764
19671229      -0.010480
19680131      -0.069630
19680229      -0.012739
19680329       0.021290
19680430       0.104762
19680531       0.017241
19680628      -0.001130
19680730      -0.024148
19680830       0.035226
19680930      -0.050847
19681031       0.040179
19681129       0.035765
19681231       0.001657
19690131       0.033333
19690228      -0.102151
19690328       0.050299
19690430       0.028653
19690529       0.033426
19690630       0.003504
19690731      -0.018893
19690829       0.056396
19690930      -0.007031
19691031       0.106719
19691128       0.019048
19691231       0.062617
19700130      -0.106195
19700227       0.079208
19700331      -0.059633
19700430      -0.075980
19700529      -0.108753
19700630       0.043155
19700731      -0.070301
19700831      -0.012346
19700930       0.112500
19701030      -0.011299
19701130       0.011429
19701231       0.124859
19710129      -0.037879
19710226       0.010499
19710331       0.045974
19710430       0.036205
19710528       0.002410
19710630      -0.015144
19710730       0.008589
19710831       0.042579
19710930       0.052975
19711029       0.023385
19711130       0.026115
19711231       0.056628
19720131       0.048387
19720229       0.026923
19720330       0.044382
19720428       0.045905
19720531       0.006885
19720630       0.067009
19720731       0.086817
19720831      -0.032544
19720929       0.006422
19721031       0.042683
19721130      -0.007310
19721229       0.053549
19730131       0.054698
19730228      -0.015957
19730330       0.036973
19730430      -0.077124
19730531       0.011331
19730629       0.010308
19730731       0.034771
19730831      -0.121828
19730928       0.006144
19731031       0.050382
19731130      -0.011628
19731231      -0.045882
19740131      -0.032508
19740228       0.004800
19740329       0.034713
19740430      -0.006182
19740531      -0.017107
19740628      -0.001899
19740731      -0.146497
19740830      -0.047015
19740930      -0.208661
19741031       0.313433
19741129       0.037879
19741231      -0.025912
19750131      -0.043315
19750228       0.181102
19750331       0.014667
19750430       0.034653
19750530       0.055821
19750630       0.031420
19750731      -0.116176
19750829      -0.060233
19750930      -0.030249
19751031       0.099083
19751128       0.055092
19751231      -0.118987
19760130       0.046931
19760227      -0.068966
19760331       0.108889
19760430      -0.031879
19760528      -0.029463
19760630       0.033571
19760730      -0.027778
19760831       0.047857
19760930       0.073630
19761029      -0.038278
19761130      -0.145937
19761231       0.064453
19770131      -0.150459
19770228      -0.030238
19770331      -0.011136
19770429      -0.070295
19770531      -0.004878
19770630       0.101235
19770729      -0.042601
19770831       0.107728
19770930      -0.004255
19771031      -0.076923
19771130       0.049537
19771230      -0.013333
19780131      -0.011261
19780228      -0.041002
19780331      -0.067933
19780428       0.149100
19780531       0.050112
19780630      -0.047210
19780731       0.087838
19780831       0.013251
19780929      -0.012346
19781031      -0.062500
19781130       0.062222
19781229       0.139749
19790131       0.005545
19790228      -0.040441
19790330       0.018774
19790430       0.037879
19790531      -0.077007
19790629       0.075697
19790731      -0.018519
19790831       0.056226
19790928      -0.010791
19791031      -0.038182
19791130       0.094518
19791231       0.006218
19800131      -0.051903
19800229      -0.066423
19800331       0.065089
19800430       0.005556
19800530       0.053407
19800630      -0.002448
19800731       0.091873
19800829      -0.011974
19800930       0.052805
19801031      -0.062696
19801128       0.063545
19801231       0.074214
19810130      -0.023599
19810227       0.009063
19810331       0.021257
19810430       0.075332
19810529       0.104396
19810630      -0.073134
19810731      -0.002703
19810831      -0.082385
19810930       0.010417
19811030      -0.058910
19811130       0.071987
19811231      -0.002044
19820129      -0.001475
19820226      -0.070901
19820331      -0.073768
19820430       0.060659
19820528      -0.052288
19820630      -0.059310
19820730       0.035185
19820831       0.099463
19820930       0.026273
19821029       0.030400
19821130       0.036646
19821231       0.022659
19830131       0.013294
19830228      -0.015160
19830331       0.013433
19830429       0.113402
19830531      -0.082540
19830630       0.079942
19830729       0.009421
19830831       0.035467
19830930       0.001297
19831031      -0.007772
19831130       0.028721
19831230      -0.075448
19840131      -0.022130
19840229       0.065064
19840330       0.007968
19840430      -0.022576
19840531      -0.063859
19840629       0.083455
19840731      -0.101351
19840831       0.018045
19840928      -0.014903
19841031       0.049924
19841130       0.023055
19841231       0.068169
19850131       0.021277
19850228       0.048698
19850329       0.050063
19850430      -0.029797
19850531       0.067568
19850628       0.044189
19850731       0.002220
19850830       0.018162
19850930      -0.051479
19851031       0.076212
19851129       0.115880
19851231       0.060769
19860131       0.004562
19860228       0.100999
19860331       0.156846
19860430      -0.004304
19860530       0.112392
19860630       0.087565
19860731       0.019139
19860829       0.085681
19860930      -0.143351
19861031       0.102792
19861128       0.017261
19861231       0.126018
19870130       0.109990
19870227       0.121818
19870331       0.005997
19870430      -0.046079
19870529       0.073729
19870630       0.080032
19870731       0.109971
19870831       0.084148
19870930       0.012232
19871030      -0.122659
19871130      -0.063361
19871231      -0.062941
19880129      -0.048896
19880229       0.103383
19880331      -0.050642
19880429       0.002389
19880531       0.017474
19880630       0.059859
19880729      -0.006667
19880831      -0.011275
19880930       0.052392
19881031      -0.008658
19881130      -0.006638
19881230       0.022124
19890131       0.129870
19890228      -0.021073
19890331       0.020117
19890428       0.054054
19890531       0.022491
19890630      -0.036036
19890731       0.136449
19890831      -0.028618
19890929       0.032368
19891031       0.028053
19891130       0.012841
19891229      -0.011727
19900131      -0.067742
19900228      -0.053633
19900330       0.023035
19900430       0.053957
19900531       0.135836
19900629       0.048338
19900731       0.027378
19900831      -0.077868
19900928      -0.067381
19901031       0.009852
19901130       0.121951
19901231       0.048522
19910131       0.018081
19910228       0.116120
19910328       0.038531
19910430       0.021327
19910531       0.103248
19910628      -0.018423
19910731       0.108719
19910830      -0.009670
19910930       0.025616
19911031       0.054755
19911129       0.066485
19911231       0.141793
19920131      -0.056306
19920228       0.003182
19920331      -0.062236
19920430      -0.014443
19920529       0.042241
19920630      -0.027692
19920731       0.064103
19920831      -0.057831
19920930      -0.084833
19921030      -0.014045
19921130       0.028490
19921231      -0.033241
19930129      -0.069164
19930226      -0.046440
19930331      -0.074675
19930430       0.045936
19930528       0.033784
19930630      -0.065359
19930730      -0.137324
19930831       0.040816
19930930      -0.026510
19931029       0.044715
19931130       0.066148
19931231       0.011825
19940131       0.061818
19940228      -0.113014
19940331      -0.072432
19940429      -0.004202
19940531       0.029536
19940630      -0.015410
19940729      -0.004202
19940831       0.151899
19940930       0.052747
19941031       0.000000
19941130       0.045614
19941230       0.031544
19950131       0.055738
19950228       0.052795
19950331       0.012979
19950428       0.005865
19950531       0.096210
19950630       0.051596
19950731       0.050891
19950831      -0.033898
19950929       0.129624
19951031       0.026786
19951130       0.076087
19951229       0.066101
19960131       0.068571
19960229      -0.055258
19960329      -0.055245
19960430      -0.028112
19960531       0.068182
19960628       0.005261
19960731      -0.005803
19960830       0.021401
19960930       0.078476
19961031       0.049734
19961129       0.123519
19961231      -0.035843
19970131       0.138148
19970228       0.016552
19970331      -0.080923
19970430       0.072700
19970530      -0.005533
19970630       0.143060
19970731       0.015272
19970829      -0.116125
19970930       0.093397
19971031      -0.106942
19971128       0.062325
19971231       0.122742
19980130       0.107311
19980227       0.086794
19980331       0.008427
19980430      -0.059971
19980529      -0.029046
19980630       0.147009
19980731      -0.076168
19980831      -0.061710
19980930       0.122178
19981030       0.042451
19981130       0.148542
19981231      -0.045673
19990129      -0.005085
19990226       0.110733
19990331      -0.013558
19990430      -0.121685
19990528      -0.039076
19990630       0.092717
19990730      -0.081494
19990831      -0.006470
19990930      -0.031033
