lnfuture lnspot    cost
6.08382  6.08618  -0.165010
6.08404  6.08623  -0.165010
6.08473  6.08630  -0.165010
6.08450  6.08630  -0.165010
6.08450  6.08623  -0.165010
6.08439  6.08625  -0.165010
6.08404  6.08628  -0.165010
6.08393  6.08646  -0.165010
6.08359  6.08598  -0.165010
6.08370  6.08611  -0.165010
6.08359  6.08593  -0.165010
6.08347  6.08562  -0.165010
6.08325  6.08546  -0.165010
6.08370  6.08521  -0.165010
6.08427  6.08518  -0.165010
6.08416  6.08532  -0.165010
6.08382  6.08530  -0.165010
6.08382  6.08527  -0.165010
6.08382  6.08534  -0.165010
6.08393  6.08527  -0.165010
6.08427  6.08539  -0.165010
6.08404  6.08521  -0.165010
6.08290  6.08527  -0.165010
6.08222  6.08525  -0.165010
6.08245  6.08459  -0.165010
6.08267  6.08393  -0.165010
6.08165  6.08382  -0.165010
6.08245  6.08391  -0.165010
6.08245  6.08384  -0.165010
6.08245  6.08377  -0.165010
6.08245  6.08368  -0.165010
6.08233  6.08366  -0.165010
6.08211  6.08382  -0.165010
6.08188  6.08386  -0.165010
6.08188  6.08382  -0.165010
6.08199  6.08386  -0.165010
6.08222  6.08366  -0.165010
6.08222  6.08375  -0.165010
6.08222  6.08384  -0.165010
6.08199  6.08393  -0.165010
6.08142  6.08375  -0.165010
6.08153  6.08382  -0.165010
6.08153  6.08352  -0.165010
6.08073  6.08320  -0.165010
6.08131  6.08306  -0.165010
6.08188  6.08281  -0.165010
6.08188  6.08288  -0.165010
6.08188  6.08281  -0.165010
6.08199  6.08290  -0.165010
6.08211  6.08327  -0.165010
6.08245  6.08350  -0.165010
6.08279  6.08343  -0.165010
6.08290  6.08354  -0.165010
6.08325  6.08384  -0.165010
6.08313  6.08402  -0.165010
6.08290  6.08416  -0.165010
6.08302  6.08427  -0.165010
6.08325  6.08457  -0.165010
6.08313  6.08443  -0.165010
6.08313  6.08448  -0.165010
6.08359  6.08452  -0.165010
6.08382  6.08455  -0.165010
6.08450  6.08466  -0.165010
6.08461  6.08493  -0.165010
6.08427  6.08509  -0.165010
6.08450  6.08534  -0.165010
6.08416  6.08555  -0.165010
6.08404  6.08530  -0.165010
6.08439  6.08548  -0.165010
6.08450  6.08548  -0.165010
6.08450  6.08548  -0.165010
6.08427  6.08550  -0.165010
6.08404  6.08548  -0.165010
6.08450  6.08577  -0.165010
6.08370  6.08548  -0.165010
6.08370  6.08555  -0.165010
6.08359  6.08548  -0.165010
