hour min second price   volume
 9 30 00    40.5400      2136
 9 30 00    40.5400      2136
 9 30 24    40.3400       150
 9 30 35    40.2800       100
 9 30 49    40.6000       100
 9 30 49    40.3100     68800
 9 30 49    40.3100      1000
 9 30 49    40.3100       700
 9 30 49    40.3100       130
 9 30 49    40.3100       350
 9 30 49    40.3100       250
 9 30 49    40.4500       100
 9 30 49    40.3100       150
 9 30 49    40.3100       225
 9 30 49    40.3100       325
 9 30 49    40.3100       500
 9 30 49    40.3100       500
 9 30 49    40.3100       300
 9 30 50    40.3000       100
 9 30 51    40.2200       100
 9 30 52    40.2200       100
 9 30 53    40.2200       300
 9 30 53    40.2200       100
 9 30 53    40.2200       100
 9 30 53    40.2200       200
 9 30 53    40.2200       100
 9 30 53    40.2200       100
 9 30 53    40.2200       100
 9 30 55    40.2500       300
 9 30 55    40.2100       100
 9 30 55    40.2000       100
 9 30 56    40.1000       100
 9 30 56    40.1000       100
 9 31 00    40.2500       100
 9 31 00    40.1000       100
 9 31 01    40.2500       100
 9 31 01    40.1000       100
 9 31 01    40.1000       100
 9 31 04    40.2500       300
 9 31 12    40.2500       100
 9 31 13    40.1300       100
 9 31 14    40.1500       100
 9 31 14    40.1600       100
 9 31 14    40.1700       200
 9 31 14    40.1700       100
 9 31 14    40.1700       200
 9 31 19    40.1100       400
 9 31 20    40.1100       200
 9 31 22    40.1100       100
 9 31 22    40.1200       100
 9 31 22    40.1100       100
 9 31 23    40.1000       100
 9 31 24    40.1000       100
 9 31 27    40.1000       100
 9 31 27    40.1000       100
 9 31 28    40.1000      1700
 9 31 29    40.1000       100
 9 31 29    40.1000       100
 9 31 29    40.1000       300
 9 31 31    40.1300       200
 9 31 31    40.1100       100
 9 31 31    40.1100       100
 9 31 31    40.1100       100
 9 31 31    40.1100       100
 9 31 31    40.1300       100
 9 31 31    40.1100       100
 9 31 31    40.1300       100
 9 31 31    40.1300       100
 9 31 31    40.1300       100
 9 31 31    40.1300       100
 9 31 31    40.1400       600
 9 31 31    40.2600       200
 9 31 31    40.2600       900
 9 31 31    40.1300       100
 9 31 33    40.1200       100
 9 31 44    40.2200       200
 9 31 44    40.2200       100
 9 31 44    40.2200       100
 9 31 44    40.2200       100
 9 31 44    40.2200       100
 9 31 44    40.2200       100
 9 31 48    40.1900       100
 9 31 49    40.2000       100
 9 31 52    40.2099       100
 9 31 53    40.2100       100
 9 31 53    40.2100       100
 9 31 54    40.2100       200
 9 31 54    40.2100       500
 9 31 54    40.2100       100
 9 31 54    40.2099      1000
 9 31 57    40.2100       100
 9 32 01    40.1500       100
 9 32 04    40.2100       100
 9 32 07    40.2100       200
 9 32 07    40.2100       200
 9 32 08    40.1700       200
 9 32 08    40.1900       100
 9 32 08    40.1700       199
 9 32 09    40.2100       400
 9 32 11    40.1800       300
 9 32 13    40.1800       100
 9 32 13    40.1800       100
 9 32 15    40.1800       400
 9 32 16    40.1800       100
 9 32 16    40.2000       100
 9 32 17    40.1500       100
 9 32 17    40.1500       200
 9 32 17    40.1500       100
 9 32 17    40.1500       100
 9 32 19    40.0800       200
 9 32 19    40.0800       100
 9 32 19    40.0800       120
 9 32 20    40.0700       100
 9 32 23    40.0600       100
 9 32 23    40.0600       100
 9 32 24    40.1000       100
 9 32 24    40.1000       220
 9 32 25    40.1100       100
 9 32 25    40.0800       100
 9 32 26    40.0600       100
 9 32 26    40.0600       179
 9 32 26    40.0600       100
 9 32 26    40.0600       100
 9 32 26    40.0600       100
 9 32 26    40.0600       400
 9 32 37    40.1000       100
 9 32 37    40.1000       100
 9 32 39    40.1100       200
 9 32 42    40.1100       100
 9 32 42    40.1100       100
 9 32 42    40.1100       100
 9 32 42    40.1100       200
 9 32 42    40.1100       100
 9 32 42    40.1100       200
 9 32 42    40.1100       600
 9 32 42    40.1100       200
 9 32 42    40.1100       100
 9 32 42    40.1100      2600
 9 32 42    40.1100       200
 9 32 42    40.1100       200
 9 32 42    40.1100       200
 9 32 43    40.1100       400
 9 32 43    40.1100       100
 9 32 45    40.1300       100
 9 32 46    40.1600       100
 9 32 47    40.1400       100
 9 32 47    40.1400       100
 9 32 47    40.1400       100
 9 32 47    40.1400       159
 9 32 47    40.1400       159
 9 32 47    40.1400       100
 9 32 47    40.1500       100
 9 32 47    40.1400       100
 9 32 48    40.1400       100
 9 32 49    40.1400       199
 9 32 49    40.1400       100
 9 32 49    40.1600       100
 9 32 50    40.1700       100
 9 32 50    40.1390       199
 9 32 50    40.1390       100
 9 32 50    40.1800       100
 9 32 50    40.1580       101
 9 32 50    40.2100       100
 9 32 50    40.2100       200
 9 32 51    40.2100       100
 9 32 51    40.2100       100
 9 32 51    40.2300       100
 9 32 51    40.1560       900
 9 32 51    40.2100       200
 9 32 52    40.2100       200
 9 32 52    40.2100       100
 9 32 52    40.2100       200
 9 32 52    40.2100       199
 9 32 53    40.2200       100
 9 32 53    40.2200       100
 9 32 55    40.2600       100
 9 32 56    40.2500       100
 9 32 58    40.2600       100
 9 32 58    40.2600       100
 9 32 59    40.2500       200
 9 33 01    40.2100       100
 9 33 01    40.2100       100
 9 33 02    40.2560       100
 9 33 02    40.2400       100
 9 33 02    40.2400       100
 9 33 02    40.2400       100
 9 33 02    40.2500       100
 9 33 02    40.2500       100
 9 33 02    40.2500       100
 9 33 02    40.2400       100
 9 33 02    40.2400       200
 9 33 02    40.2400       200
 9 33 02    40.2500       100
 9 33 03    40.2200       100
 9 33 03    40.2200       100
 9 33 03    40.2200       101
 9 33 03    40.2100       200
 9 33 04    40.1200       100
 9 33 04    40.1100       100
 9 33 04    40.1100       200
 9 33 04    40.2000       100
 9 33 04    40.2000       100
 9 33 04    40.0900       100
 9 33 04    40.1900       200
 9 33 04    40.1300       100
 9 33 05    40.0900       100
 9 33 05    40.1800       100
 9 33 05    40.1800       100
 9 33 09    40.1200       100
 9 33 11    40.1400       100
 9 33 11    40.1400       100
 9 33 11    40.1400       200
 9 33 15    40.1200       100
 9 33 15    40.1200       100
 9 33 15    40.1500       400
 9 33 15    40.1200       100
 9 33 18    40.1500      1200
 9 33 18    40.1500       100
 9 33 18    40.1500       100
 9 33 18    40.1600       100
 9 33 18    40.1800       200
 9 33 18    40.2100       400
 9 33 19    40.1400       100
 9 33 21    40.1380       200
 9 33 22    40.1300       100
 9 33 23    40.1800       100
 9 33 23    40.1800       100
 9 33 23    40.1800       100
 9 33 23    40.1800       200
 9 33 23    40.2000       200
 9 33 23    40.2100       100
 9 33 24    40.1300       100
 9 33 25    40.1300       300
 9 33 26    40.1500       100
 9 33 27    40.1400       100
 9 33 30    40.1500       100
 9 33 30    40.1600       100
 9 33 31    40.1400       100
 9 33 31    40.1800       100
 9 33 31    40.1600       200
 9 33 32    40.1700       100
 9 33 32    40.1800       100
 9 33 32    40.1700       100
