hour min second price      volume
  9 30 00    39.8400     1232
  9 30 00    39.8400     1232
  9 30 17    39.5000      100
  9 30 22    39.8800      100
  9 30 22    39.8700      100
  9 30 31    39.7100      100
  9 30 31    39.7100      100
  9 30 31    39.7100      100
  9 30 31    39.8100      100
  9 30 31    39.8700      100
  9 30 31    39.8700      100
  9 30 31    39.8700      200
  9 30 31    39.9000      100
  9 30 31    39.9200      300
  9 30 31    39.9600      100
  9 30 32    40.2400      100
  9 30 34    39.7800      100
  9 30 34    40.0500      100
  9 30 35    40.0200      100
  9 30 35    39.9500      100
  9 30 36    39.7900      100
  9 30 36    39.9300      100
  9 30 41    39.9700      100
  9 30 56    40.1600      100
  9 30 57    40.1500      100
  9 30 58    39.9000      100
  9 30 58    39.8900      100
  9 30 58    39.8300      100
  9 30 59    39.8300      100
  9 30 59    39.8300      100
  9 30 59    39.8300      100
  9 30 59    39.8000      100
  9 30 59    39.6300      100
  9 31 00    39.5700      100
  9 31 01    39.6600      100
  9 31 01    39.6800      100
  9 31 01    39.6800      100
  9 31 01    39.6100      100
  9 31 01    39.6100      100
  9 31 01    39.6800      100
  9 31 05    40.1400      100
  9 31 09    39.9600      100
  9 31 09    39.9600      100
  9 31 10    40.0100    34600
  9 31 10    39.9600      199
  9 31 10    40.0400      100
  9 31 10    40.0100      300
  9 31 10    40.0100      175
  9 31 10    40.0100      193
  9 31 10    40.0100      105
  9 31 10    40.0000      100
  9 31 10    40.0000      100
  9 31 10    40.0000      100
  9 31 10    40.0000      100
  9 31 10    40.0000      100
  9 31 10    39.9000      100
  9 31 10    39.8000      100
  9 31 10    39.9700     1000
  9 31 10    39.8000      100
  9 31 10    39.8000      100
  9 31 10    39.8000      100
  9 31 10    39.8000      100
  9 31 10    40.0100      490
  9 31 10    39.8000      100
  9 31 10    39.8000      100
  9 31 10    39.8000      300
  9 31 10    39.7800      100
  9 31 10    40.1000      100
  9 31 10    39.9100      200
  9 31 10    39.9100      100
  9 31 10    39.7800      100
  9 31 10    39.7100      100
  9 31 10    39.7100      100
  9 31 10    39.9700      100
  9 31 10    40.0000      100
  9 31 10    39.9100      100
  9 31 10    39.9100      100
  9 31 10    39.9100      500
  9 31 10    39.9100      200
  9 31 10    40.0000      100
  9 31 10    40.0000      400
  9 31 10    40.0000      100
  9 31 10    40.0000      250
  9 31 11    39.9900      100
  9 31 11    39.9900      100
  9 31 11    39.9000      100
  9 31 12    39.9800      100
  9 31 12    39.9300      100
  9 31 12    39.9700      100
  9 31 12    39.9200      100
  9 31 12    39.9900      100
  9 31 12    39.9700      100
  9 31 15    39.9800      100
  9 31 16    39.9900      100
  9 31 16    39.9900      100
  9 31 17    39.9900      100
  9 31 17    39.9900      200
  9 31 17    39.9900      100
  9 31 17    39.9900      100
  9 31 17    39.9500      100
  9 31 17    39.9500      197
  9 31 17    39.9500      300
  9 31 18    39.9200      100
  9 31 18    39.9100      400
  9 31 18    39.8900      100
  9 31 18    39.8800      800
  9 31 18    39.8800      100
  9 31 19    39.8800      200
  9 31 19    39.8800      500
  9 31 19    39.8800      500
  9 31 19    39.8800      100
  9 31 19    39.9300      100
  9 31 19    39.8900      500
  9 31 20    39.8800      333
  9 31 20    39.8800      400
  9 31 20    39.8700      100
  9 31 20    39.8800      100
  9 31 20    39.8800      100
  9 31 24    39.8800     5000
  9 31 24    39.8400      400
  9 31 25    39.8600      100
  9 31 25    39.8600      100
  9 31 28    39.8500      400
  9 31 29    39.8434      200
  9 31 29    39.8400      300
  9 31 29    39.8600      100
  9 31 29    39.8600      100
  9 31 29    39.8700      100
  9 31 29    39.8700      100
  9 31 29    39.8700      100
  9 31 29    39.8500      100
  9 31 29    39.8600      100
  9 31 29    39.8600      100
  9 31 30    39.8700      100
  9 31 31    39.8400      300
  9 31 32    39.8874      568
  9 31 33    39.9000      100
  9 31 33    39.9000      200
  9 31 33    39.9000      300
  9 31 36    39.8400      200
  9 31 37    39.9000      100
  9 31 44    39.8900      100
  9 31 44    39.8900      200
  9 31 44    39.8900      100
  9 31 44    39.8900     1700
  9 31 44    39.8900      400
  9 31 44    39.8900      200
  9 31 44    39.8600      100
  9 31 44    39.8700      100
  9 31 44    39.8700      300
  9 31 44    39.8800      300
  9 31 44    39.8600      100
  9 31 44    39.8600      100
  9 31 44    39.8600      100
  9 31 44    39.8600      100
  9 31 51    39.9100      100
  9 31 51    39.8600      200
  9 31 55    39.9200      300
  9 31 57    39.8600      100
  9 32 00    39.8700      100
  9 32 04    39.8800      106
  9 32 04    39.9200      100
  9 32 04    39.9300      100
  9 32 06    39.9477      100
  9 32 06    39.9500      200
  9 32 06    39.9500      400
  9 32 06    39.9500     5300
  9 32 06    39.8800      100
  9 32 06    39.9500      100
  9 32 06    39.9500      200
  9 32 06    39.8800      100
  9 32 07    39.9500      400
  9 32 07    39.9500      100
  9 32 07    39.9500      200
  9 32 07    39.9500      200
  9 32 07    39.9500      400
  9 32 07    39.9500      400
  9 32 07    39.9000      100
  9 32 07    39.9100      100
  9 32 07    39.9500      400
  9 32 07    39.9500      400
  9 32 07    39.9200      100
  9 32 07    39.9500      200
  9 32 07    39.9600      200
  9 32 07    40.0000     1000
  9 32 07    40.0600     1500
  9 32 07    40.0900     1200
  9 32 07    40.1300     1200
  9 32 07    40.1400      200
  9 32 07    40.1700     3400
  9 32 07    40.1900      100
  9 32 07    39.9500      100
  9 32 07    39.8900      100
  9 32 07    39.8900      100
  9 32 07    39.8900      200
  9 32 09    39.9700      100
  9 32 09    39.9700      100
  9 32 09    39.9800      100
  9 32 09    39.8900      100
  9 32 13    39.9800      100
  9 32 17    40.0000      400
  9 32 17    40.0700      100
  9 32 17    40.0425      100
  9 32 17    40.0000      600
  9 32 17    40.0700      300
  9 32 17    40.0700      100
  9 32 19    39.9700      300
  9 32 21    40.0150      200
  9 32 22    40.0000      100
  9 32 22    40.0000      100
  9 32 22    40.0000      100
  9 32 22    40.0000      100
  9 32 22    40.0000      100
  9 32 25    40.0150      700
  9 32 28    40.0700      100
  9 32 28    40.1000      100
  9 32 28    40.1000      200
  9 32 29    40.0600      100
  9 32 31    40.0200      100
  9 32 35    40.0200      100
  9 32 35    40.0200      100
  9 32 35    40.0200      100
  9 32 35    40.0200      100
  9 32 39    40.0200      100
  9 32 40    40.0300      100
  9 32 40    40.0300      100
  9 32 40    40.1400      200
  9 32 41    40.1400      400
  9 32 43    40.0400      100
  9 32 47    40.0700      100
  9 32 47    40.0700      100
  9 32 47    40.0600      100
  9 32 57    40.1000      100
  9 32 57    40.1100      100
  9 33 02    40.1400      100
  9 33 02    40.1400      100
  9 33 02    40.1300      300
  9 33 03    40.1500      199
  9 33 05    40.1400      100
  9 33 05    40.1500      600
  9 33 05    40.1500      200
  9 33 05    40.1500      500
  9 33 07    40.0900      100
  9 33 09    40.1700      500
  9 33 09    40.1500      100
  9 33 09    40.1700      100
  9 33 09    40.1900      600
  9 33 09    40.1470      100
  9 33 10    40.1900      200
  9 33 10    40.1900      100
  9 33 10    40.1900      100
  9 33 10    40.1600      100
  9 33 14    40.2000     1100
  9 33 14    40.1600      300
  9 33 15    40.1600      100
  9 33 16    40.2500      100
  9 33 16    40.1700      200
  9 33 16    40.1700      400
  9 33 20    40.2000      100
  9 33 21    40.1600      100
  9 33 21    40.2000      200
  9 33 21    40.1600      100
  9 33 25    40.2000      200
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      500
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2200      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      100
  9 33 25    40.2100      200
  9 33 25    40.2100      100
  9 33 25    40.2300      900
  9 33 25    40.2100      100
  9 33 26    40.2100      500
  9 33 26    40.2100      100
  9 33 26    40.2100      100
  9 33 30    40.2300      100
  9 33 30    40.2300      200
  9 33 30    40.2300      200
  9 33 30    40.2300      100
  9 33 30    40.2300      100
  9 33 31    40.2100      100
  9 33 32    40.2100      100
  9 33 33    40.2100      100
  9 33 33    40.2100      100
  9 33 33    40.2100      100
  9 33 33    40.2100      200
  9 33 33    40.2100      200
  9 33 33    40.2100      100
  9 33 33    40.2100      100
  9 33 33    40.2100      100
  9 33 33    40.2100      100
  9 33 33    40.2100      300
  9 33 33    40.2100      100
  9 33 34    40.2100      100
  9 33 34    40.2100      100
  9 33 35    40.2100      100
  9 33 36    40.2300      100
  9 33 36    40.2300      100
  9 33 36    40.2000      100
  9 33 36    40.2300      700
  9 33 38    40.1900      100
  9 33 38    40.1800      200
  9 33 38    40.1650      100
  9 33 38    40.1650      100
  9 33 38    40.1000      100
  9 33 39    40.0600      200
  9 33 42    40.0600      100
  9 33 58    40.0800      100
  9 33 58    40.0800      100
  9 33 59    40.0700      100
  9 34 03    40.0700      100
  9 34 03    40.0700      100
  9 34 09    40.0600      100
  9 34 11    40.0700      200
  9 34 12    40.0600      500
  9 34 12    40.0500      100
  9 34 12    40.0600      300
  9 34 13    40.0500      100
  9 34 13    40.0500      100
  9 34 13    40.0500      100
  9 34 13    40.0500      100
  9 34 14    40.0500      200
  9 34 15    40.0500      100
  9 34 16    40.0300      100
  9 34 16    40.0100      100
  9 34 20    40.1000      100
  9 34 23    40.1000      100
  9 34 25    40.0400      100
  9 34 25    40.1200      100
  9 34 25    40.1300      100
  9 34 25    40.1300      100
  9 34 27    40.0300      100
  9 34 27    40.0400      100
  9 34 28    40.0300      100
  9 34 29    40.0500      100
  9 34 29    40.0400      100
  9 34 31    40.0700      100
  9 34 31    40.1000     1700
  9 34 32    40.0900      100
  9 34 36    40.1100      100
  9 34 40    40.0900      100
  9 34 41    40.0900      300
  9 34 42    40.0900      100
  9 34 43    40.0900      100
  9 34 43    40.0900      100
  9 34 44    40.0900      100
  9 34 46    40.0800      500
  9 34 51    40.0800      100
  9 34 53    40.0600      300
  9 34 57    40.0800      100
  9 34 58    40.0600      100
  9 34 59    40.0600      300
  9 35 03    40.0900      100
  9 35 04    40.0900      100
  9 35 06    40.0900      100
  9 35 11    40.0300      100
  9 35 12    40.0300      200
  9 35 15    40.0300      200
  9 35 15    40.0700      100
  9 35 21    40.0300      100
  9 35 21    40.0300      100
  9 35 25    40.0200      100
  9 35 26    40.0300      100
  9 35 39    40.0200      200
  9 35 39    40.0300      100
  9 35 41    40.0600      100
  9 35 44    40.0240      100
  9 35 46    40.0300      100
  9 35 46    40.0600      200
  9 35 47    40.0600      100
  9 35 48    40.0500      100
  9 35 49    40.0500      100
  9 35 50    40.0500      100
  9 35 51    40.0200      200
  9 35 52    40.0500      100
  9 35 52    40.0500      400
  9 35 52    40.0500      200
  9 35 52    40.0500      100
  9 35 52    40.0470     1000
  9 36 01    40.0800      100
  9 36 05    40.0700      200
  9 36 19    40.0301      179
  9 36 24    40.0700      100
  9 36 24    40.0700     1100
  9 36 27    40.0800      100
  9 36 27    40.0800      600
  9 36 27    40.0500      300
  9 36 28    40.0500      200
  9 36 36    40.0800      900
  9 36 37    40.0800      100
  9 36 37    40.0800      100
  9 36 37    40.0600      200
  9 36 38    40.0800      100
  9 36 38    40.0900      300
  9 36 39    40.0700      100
  9 36 39    40.0900      100
  9 36 39    40.0900      100
  9 36 39    40.0900      200
  9 36 39    40.0900      400
  9 36 39    40.0900      200
  9 36 39    40.0900      100
  9 36 39    40.0900      100
  9 36 40    40.1000      100
  9 36 40    40.1000      300
  9 36 40    40.1100      100
  9 36 40    40.1000      200
  9 36 40    40.1000      311
  9 36 40    40.1000      189
  9 36 45    40.1500      100
  9 36 48    40.1400     4300
  9 36 48    40.1400      200
  9 36 50    40.1000      200
  9 36 50    40.0900      100
  9 36 50    40.0900      100
  9 36 50    40.0900      100
  9 36 54    40.0900      100
  9 36 54    40.0900      100
  9 36 55    40.0900      100
  9 36 55    40.0900      100
  9 36 55    40.0900      100
  9 36 56    40.0700      100
  9 36 56    40.0700      100
  9 36 57    40.0300      100
  9 36 57    40.0700      100
  9 36 57    40.0700      100
  9 37 01    40.0800      100
  9 37 01    40.0800      100
  9 37 01    40.0800      100
  9 37 01    40.0800      200
  9 37 02    40.0900      200
  9 37 04    40.0819      100
  9 37 08    40.1200      100
  9 37 08    40.1200      100
  9 37 08    40.1200      100
  9 37 10    40.1500      200
  9 37 11    40.1500      400
  9 37 13    40.1100      100
  9 37 14    40.1100      100
  9 37 16    40.1166      100
  9 37 17    40.1500      400
  9 37 17    40.1500      200
  9 37 20    40.1100      100
  9 37 22    40.1180      400
  9 37 22    40.1100      600
  9 37 28    40.1500      200
  9 37 34    40.1500      100
  9 37 34    40.1500      100
  9 37 34    40.1500      200
  9 37 34    40.1500      100
  9 37 34    40.1500      100
  9 37 34    40.1500      100
  9 37 36    40.1560      800
  9 37 36    40.1200      100
  9 37 36    40.1200      100
  9 37 36    40.1200      100
  9 37 37    40.1200      100
  9 37 37    40.1500      100
  9 37 38    40.1200      100
  9 37 38    40.1200      100
  9 37 38    40.1200      100
  9 37 39    40.1300      100
  9 37 40    40.1300      110
  9 37 40    40.1300      100
  9 37 44    40.1600      100
  9 37 44    40.1300      100
  9 37 50    40.1500      100
  9 37 51    40.1500      900
  9 37 51    40.1500      100
  9 37 51    40.1300      100
  9 37 51    40.1300      100
  9 37 51    40.1200      100
  9 37 52    40.1200      100
  9 37 52    40.1200      100
  9 37 52    40.1200      100
  9 37 52    40.1200      100
  9 37 52    40.1200      100
  9 37 52    40.1200      100
  9 37 52    40.1200      400
  9 37 52    40.1200      100
  9 37 52    40.1100      100
  9 37 52    40.1200      100
  9 37 52    40.1200      100
  9 37 52    40.1200      300
  9 37 52    40.1200      100
  9 37 52    40.1200      100
  9 37 52    40.1100      200
  9 37 52    40.1100      100
  9 37 52    40.1100      100
  9 37 52    40.1100      100
  9 37 52    40.1300      100
  9 37 52    40.1100      100
  9 37 52    40.1100      200
  9 37 52    40.1100      400
  9 37 52    40.1100      200
  9 37 52    40.1100      400
  9 37 52    40.1200      200
  9 37 53    40.1300      300
  9 37 53    40.1100      300
  9 37 53    40.1100      600
  9 37 54    40.1300      100
  9 37 54    40.1300      100
  9 37 54    40.1300      100
  9 37 54    40.1300      200
  9 37 54    40.1100      100
  9 37 54    40.1200      200
  9 37 54    40.1300      100
  9 37 56    40.1100      100
  9 37 57    40.1100      100
  9 38 01    40.1150      200
  9 38 01    40.1150      100
  9 38 01    40.1150      100
  9 38 01    40.1100      200
  9 38 01    40.1100      200
  9 38 01    40.1100      200
  9 38 01    40.1150      100
  9 38 01    40.1100      100
  9 38 01    40.1200      200
  9 38 02    40.1200      100
  9 38 03    40.1200      100
  9 38 03    40.1200      300
  9 38 04    40.1400      100
  9 38 04    40.1400      200
  9 38 05    40.1125      400
  9 38 05    40.1250      600
  9 38 05    40.1125      300
  9 38 07    40.1100      100
