day	hour	min	second	price	volume
4	9	30	0	39.84	1232
4	9	30	0	39.84	1232
4	9	30	17	39.5	100
4	9	30	22	39.88	100
4	9	30	22	39.87	100
4	9	30	31	39.71	100
4	9	30	31	39.71	100
4	9	30	31	39.71	100
4	9	30	31	39.81	100
4	9	30	31	39.87	100
4	9	30	31	39.87	100
4	9	30	31	39.87	200
4	9	30	31	39.9	100
4	9	30	31	39.92	300
4	9	30	31	39.96	100
4	9	30	32	40.24	100
4	9	30	34	39.78	100
4	9	30	34	40.05	100
4	9	30	35	40.02	100
4	9	30	35	39.95	100
4	9	30	36	39.79	100
4	9	30	36	39.93	100
4	9	30	41	39.97	100
4	9	30	56	40.16	100
4	9	30	57	40.15	100
4	9	30	58	39.9	100
4	9	30	58	39.89	100
4	9	30	58	39.83	100
4	9	30	59	39.83	100
4	9	30	59	39.83	100
4	9	30	59	39.83	100
4	9	30	59	39.8	100
4	9	30	59	39.63	100
4	9	31	0	39.57	100
4	9	31	1	39.66	100
4	9	31	1	39.68	100
4	9	31	1	39.68	100
4	9	31	1	39.61	100
4	9	31	1	39.61	100
4	9	31	1	39.68	100
4	9	31	5	40.14	100
4	9	31	9	39.96	100
4	9	31	9	39.96	100
4	9	31	10	40.01	34600
4	9	31	10	39.96	199
4	9	31	10	40.04	100
4	9	31	10	40.01	300
4	9	31	10	40.01	175
4	9	31	10	40.01	193
4	9	31	10	40.01	105
4	9	31	10	40	100
4	9	31	10	40	100
4	9	31	10	40	100
4	9	31	10	40	100
4	9	31	10	40	100
4	9	31	10	39.9	100
4	9	31	10	39.8	100
4	9	31	10	39.97	1000
4	9	31	10	39.8	100
4	9	31	10	39.8	100
4	9	31	10	39.8	100
4	9	31	10	39.8	100
4	9	31	10	40.01	490
4	9	31	10	39.8	100
4	9	31	10	39.8	100
4	9	31	10	39.8	300
4	9	31	10	39.78	100
4	9	31	10	40.1	100
4	9	31	10	39.91	200
4	9	31	10	39.91	100
4	9	31	10	39.78	100
4	9	31	10	39.71	100
4	9	31	10	39.71	100
4	9	31	10	39.97	100
4	9	31	10	40	100
4	9	31	10	39.91	100
4	9	31	10	39.91	100
4	9	31	10	39.91	500
4	9	31	10	39.91	200
4	9	31	10	40	100
4	9	31	10	40	400
4	9	31	10	40	100
4	9	31	10	40	250
4	9	31	11	39.99	100
4	9	31	11	39.99	100
4	9	31	11	39.9	100
4	9	31	12	39.98	100
4	9	31	12	39.93	100
4	9	31	12	39.97	100
4	9	31	12	39.92	100
4	9	31	12	39.99	100
4	9	31	12	39.97	100
4	9	31	15	39.98	100
4	9	31	16	39.99	100
4	9	31	16	39.99	100
4	9	31	17	39.99	100
4	9	31	17	39.99	200
4	9	31	17	39.99	100
4	9	31	17	39.99	100
4	9	31	17	39.95	100
4	9	31	17	39.95	197
4	9	31	17	39.95	300
4	9	31	18	39.92	100
4	9	31	18	39.91	400
4	9	31	18	39.89	100
4	9	31	18	39.88	800
4	9	31	18	39.88	100
4	9	31	19	39.88	200
4	9	31	19	39.88	500
4	9	31	19	39.88	500
4	9	31	19	39.88	100
4	9	31	19	39.93	100
4	9	31	19	39.89	500
4	9	31	20	39.88	333
4	9	31	20	39.88	400
4	9	31	20	39.87	100
4	9	31	20	39.88	100
4	9	31	20	39.88	100
4	9	31	24	39.88	5000
4	9	31	24	39.84	400
4	9	31	25	39.86	100
4	9	31	25	39.86	100
4	9	31	28	39.85	400
4	9	31	29	39.8434	200
4	9	31	29	39.84	300
4	9	31	29	39.86	100
4	9	31	29	39.86	100
4	9	31	29	39.87	100
4	9	31	29	39.87	100
4	9	31	29	39.87	100
4	9	31	29	39.85	100
4	9	31	29	39.86	100
4	9	31	29	39.86	100
4	9	31	30	39.87	100
4	9	31	31	39.84	300
4	9	31	32	39.8874	568
4	9	31	33	39.9	100
4	9	31	33	39.9	200
4	9	31	33	39.9	300
4	9	31	36	39.84	200
4	9	31	37	39.9	100
4	9	31	44	39.89	100
4	9	31	44	39.89	200
